"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"25","Brdb-SA_LgBS.RJU2",-17.46771667,-68.54858333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3792,145.5,59.4,86,105,376,2599,0.0136,2.361210299,"Central Andean dry puna",337,4.875,0.35739,4,2,"Inland Water",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,10.52,0,60.46,0,0,0,0,25.08,0,0,0,0,96.06,0,0,0,0,0,0,0,3.9,NA,NA,NA,"Desaguadero-SAltiplano"
"26","Brdb-SA_LgnDsgdr",-16.98438333,-68.78646667,NA,NA,3830,NA,NA,NA,NA,302,37.26,320,18.1,19.877,588.369,NA,1.3629,579.394,NA,NA,0.1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,48.3,102.2,82,99,497,2387,0.0064,0.678328892,"Central Andean dry puna",337,3.75,0.31862,1,2,"Semi Desert Shrubs",4.100739002,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,62.25,0,17.77,0,0,0,0,6.98,0,0,0,0,99.86,0,0,0,0,0,0,0,0.15,NA,NA,NA,"Desaguadero-SAltiplano"
"27","Brdb-SA_LgS(UUr)1",-17.74518333,-67.30683333,NA,NA,7590,NA,NA,NA,NA,371.5,56.64,939,43.6,6.117,1511.552,NA,0.0034,934.878,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724,152.3,68.7,93,97,406,2235,0.002,11.41319119,"Central Andean dry puna",337,1,0.307504,3,4,"Upland Tundra",14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0,NA,NA,NA,"Desaguadero-SAltiplano"
"28","Brdb-SA_LgS(UUr)2",-17.74518333,-67.30683333,NA,NA,7590,NA,NA,NA,NA,371.5,56.64,939,43.6,6.117,1511.552,NA,0.0034,934.878,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724,152.3,68.7,93,97,406,2235,0.002,11.41319119,"Central Andean dry puna",337,1,0.307504,3,4,"Upland Tundra",14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0,NA,NA,NA,"Desaguadero-SAltiplano"
"29","Brdb-SA_LgS(UUr)3",-17.74518333,-67.30683333,NA,NA,7590,NA,NA,NA,NA,371.5,56.64,939,43.6,6.117,1511.552,NA,0.0034,934.878,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724,152.3,50.9,93,97,406,2235,0.002,11.41319119,"Central Andean dry puna",337,1,0.307504,6,2,"Upland Tundra",14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0,NA,NA,NA,"Desaguadero-SAltiplano"
"30","Brdb-SA_NLgPppln1",-18.56863333,-66.95296667,NA,NA,2270,NA,NA,NA,NA,116,29.41,187,16.6,23.255,204.438,NA,0.1612,561.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701,81.3,183.9,97,114,313,2947,4e-04,37.16105803,"Central Andean dry puna",337,4,0.576425,6,2,"Semi Desert Shrubs",12.00015163,5.58,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0.1,0,0,0,0,29.07,0,3.84,0,0,0,0,39.16,0,0,0.76,5.58,80.21,0.1,0.76,0,0,0,0,0,13.32,NA,NA,NA,"Desaguadero-SAltiplano"
"31","Brdb-SA_NLgPppln2",-18.56863333,-66.95296667,NA,NA,2270,NA,NA,NA,NA,116,29.41,187,16.6,23.255,204.438,NA,0.1612,561.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701,81.3,145.5,97,114,313,2947,4e-04,37.16105803,"Central Andean dry puna",337,4,0.576425,6,2,"Semi Desert Shrubs",12.00015163,5.58,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0.1,0,0,0,0,29.07,0,3.84,0,0,0,0,39.16,0,0,0.76,5.58,80.21,0.1,0.76,0,0,0,0,0,13.32,NA,NA,NA,"Desaguadero-SAltiplano"
"32","Brdb-SA_RDB(ppl)",-17.3132,-68.61775,NA,NA,1250,NA,NA,NA,NA,71.11,14.801,134.8,9.3,19.717,181.272,NA,1.347,131.157,NA,NA,0.0771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3821,42.5,68.7,86,104,393,2556,0.0136,2.361210299,"Central Andean dry puna",337,3.25,0.448422,4,2,"Shrub Deciduous",6.013498306,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,28.15,0,64.75,0,0,0,0,2.87,0,0,0,0,97.03,0,0,0,0,0,0,0,2.93,NA,NA,NA,"Desaguadero-SAltiplano"
"33","Brdb-SA_RDesagdr1",-18.35068333,-67.04055,NA,6,3870,NA,NA,NA,NA,180,48.57,407,15.9,5.424,595.01,NA,0.0018,640.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701,41,27.44070053,91,108,336,3087,0.0056,8.442432097,"Central Andean dry puna",337,0.625,0.536662,6,2,"Inland Water",6.641028404,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0.09,0,0,0,0,36.01,0,18.07,0,0,0,0,38.12,0,0,0.32,0,92.63,0.09,0.32,0,0,0,0,0,6.92,NA,NA,NA,"Desaguadero-SAltiplano"
"34","Brdb-SA_RDesagdr2",-18.35068333,-67.04055,NA,6,3870,NA,NA,NA,NA,180,48.57,407,15.9,5.424,595.01,NA,0.0018,640.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3702,41,27.44070053,91,108,336,3087,0.0056,8.442432097,"Central Andean dry puna",337,0.75,0.536662,6,2,"Inland Water",6.641028404,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0.09,0,0,0,0,36.04,0,18.14,0,0,0,0,38.09,0,0,0.31,0,92.69,0.09,0.31,0,0,0,0,0,6.85,NA,NA,NA,"Desaguadero-SAltiplano"
