old,new_1,new_2
Nitzschia.pusilla,Nitzschia.pusilla,benthic
Nitzschia.sigma,Nitzschia.sigma,saline
Nitzschia.sigmoidea,Nitzschia.sigmoidea,saline
Nitzschia.sp..cf.fonticola.Gasse.1980.,Nitzshia fonticola/lacuum,benthic
Nitzschia.sp.1.CAUCA,Nitzschia.sp.1.CAUCA,benthic
Nitzschia.sp.1.TOREADORA..cf.clandestina.Manguin.,Nitzshia fonticola/lacuum,benthic
Nitzschia.tropica,Nitzschia.tropica,benthic
Nitzschia.valdecostata,Nitzschia.valdecostata,saline
Pinnularia.borealis,Pinnularia.borealis,benthic
Pinnularia.brauniana,Pinnularia.brauniana,benthic
Pinnularia.maior,Pinnularia.maior,benthic
Pinnularia.microstauron,Pinnularia.microstauron,benthic
Pinnularia.obscura,Pinnularia.obscura,benthic
Pinnularia.subgibba,Pinnularia.subgibba,benthic
Pinnularia.termitina,Pinnularia.termitina,benthic
Pinnularia.viridis,Pinnularia.viridis,benthic
Planothidium.delicatulum,Planothidium.delicatulum,benthic
Planothidium.lanceolatum,Planothidium.lanceolatum,benthic
Psammothidium.chlidanos,Psammothidium.chlidanos,benthic
Psammothidium.grischunum,Psammothidium.grischunum,benthic
Psammothidium.subatomoides,Psammothidium.subatomoides,benthic
Pseudostaurosira.brevistriata,Pseudostaurosira.brevistriata,benthic
Pseudostaurosira.cf.sajamaensis,Pseudostaurosira.cf.sajamaensis,benthic
Pseudostaurosira.subsalina,Pseudostaurosira.subsalina,saline
Pseudostaurosira.zeilleri,Pseudostaurosira.zeilleri,saline
Pseudostaurosira.zeilleri.var.capitellata,Pseudostaurosira.zeilleri.var.capitellata,saline
Reimeria.sinuata,Reimeria.sinuata,benthic
Rhoicosphenia.abbreviata,Rhoicosphenia.abbreviata,benthic
Rhopalodia.gibba,Rhopalodia.gibba,benthic
Rhopalodia.wetzelii,Rhopalodia.wetzelii,benthic
Sellaphora.laevissima,Sellaphora.laevissima,benthic
Sellaphora.pupula,Sellaphora.pupula,benthic
Sellaphora.rectangularis,Sellaphora.rectangularis,benthic
Sellaphora.seminulum,Sellaphora.seminulum,benthic
Stauroneis.bathurstensis,Stauroneis.bathurstensis,benthic
Stauroneis.gracilior,Stauroneis.gracilior,benthic
Stauroneis.gracilis,Stauroneis.gracilis,benthic
Stauroneis.phoenicenteron,Stauroneis.phoenicenteron,benthic
Staurophora.wislouchii,Staurophora.wislouchii,benthic
Staurosira.construens,Staurosira.construens,benthic
Staurosira.construens.var.venter,Staurosira.construens.var.venter,benthic
Staurosirella.lapponica,Staurosirella.lapponica,benthic
Staurosirella.leptostauron,Staurosirella.leptostauron,benthic
Staurosirella.pinnata.,Staurosirella.pinnata,benthic
Stenopterobia.delicatissima.,Stenopterobia.delicatissima,benthic
Surirella.linearis.,Surirella.linearis,benthic
Surirella.sella,Surirella.sella,benthic
Surirella.wetzelii,Surirella.wetzelii,benthic
Synedra.acus,Synedra.acus,tycoplanktonic
Synedra.nana,Synedra.nana,tycoplanktonic
Synedra.rumpens,Synedra.rumpens,tycoplanktonic
Tabellaria.fenestrata.,Tabellaria.fenestrata,freshwater_planktic
Tabellaria.flocculosa.str.IV,Tabellaria.flocculosa.str.IV,freshwater_planktic
Tabellaria.flocculosa.strain.IV.,Tabellaria.flocculosa.str.IV,freshwater_planktic
Tabellaria.tabulata,Tabellaria.tabulata,benthic
Tryblionella.apiculata,Tryblionella.apiculata,saline
Tryblionella.hungarica,Tryblionella.hungarica,saline
Ulnaria.delicatissima,Ulnaria.delicatissima,tycoplanktonic
Ulnaria.delicatissima.var.angustissima,Ulnaria.delicatissima.var.angustissima,tycoplanktonic
Ulnaria.ulna,Ulnaria.ulna,benthic
