BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Tuomeya sp.,"",Current,Algae,Red Algae,Y,N,"",1515002,Tuomeya,"",TUO,Y,N,Tuomeya,"","","",3000037,Genus,Tuomeya,Rhodophyta,"","",Rhodophyceae,"","","",Nemalionales,"","","",Lemaneaceae,"","",Tuomeya,"","","","","",13.2
Tuomeya americana (Kützing) Papenfuss,"",Current,Algae,Red Algae,N,N,"","",Tuomeya americana,"",TUOameri,N,N,Tuomeya americana,(Kützing) Papenfuss,"","",3000038,Species,Tuomeya americana (Kützing) Papenfuss,Rhodophyta,"","",Rhodophyceae,"","","",Nemalionales,"","","",Lemaneaceae,"","",Tuomeya,"",Tuomeya americana,"","","",13.2
Tuomeya americana,Kumano2002 Pl 147 Figs 1-5 Pl 148 Figs 1-12 Pl 149 Fig,Current,Algae,Red Algae,N,N,"",1515001,Tuomeya americana,"",TUOameri,N,N,Tuomeya americana,(Kützing) Papenfuss,"","",3000039,Species,Tuomeya americana (Kützing) Papenfuss,Rhodophyta,"","",Rhodophyceae,"","","",Nemalionales,"","","",Lemaneaceae,"","",Tuomeya,"",Tuomeya americana,"","","",13.2
Thorea sp.,"",Current,Algae,Red Algae,Y,N,"",1518000,Thorea,"",THO,Y,N,Thorea,"","","",3000040,Genus,Thorea,Rhodophyta,"","",Rhodophyceae,"","","",Nemalionales,"","","",Thoreaceae,"","",Thorea,"","","","","",13.2
Heribaudiella sp.,"",Current,Algae,Brown Algae,Y,N,"",1700002,Heribaudiella,"",HER,Y,N,Heribaudiella,"","","",3000041,Genus,Heribaudiella,Phaeophyta,"","",Phaeophyceae,"","","",Ectocarpales,"","","",Ectocarpaceae,"","",Heribaudiella,"","","","","",13.2
Unknown Dinoflagellate alga,"",Current,Algae,Dinoflagellates,Y,N,"",1499001,Undetermined Dinoflagellate,"","",Y,N,Pyrrhophyta,"","","",3000042,Phylum,Pyrrhophyta,Pyrrhophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Dinoflagellate cyst,"",Retired,Algae,Dinoflagellates,Y,N,"",1499000,Undetermined Dinoflagellate,"","",Y,N,Pyrrhophyta,"","","",3000043,Phylum,Pyrrhophyta,Pyrrhophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Dinoflagellate sp. 1 ANS FWA Adirondacks,"",Retired,Algae,Dinoflagellates,Y,N,"",1499002,Undetermined Dinoflagellate,"","",Y,N,Pyrrhophyta,"","","",3000044,Phylum,Pyrrhophyta,Pyrrhophyta,"","","","","","","","","","","","","","","","","","","",13.2
Gymnodinium sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1406001,Gymnodinium,"",GYM,Y,N,Gymnodinium,"","","",3000045,Genus,Gymnodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"","","","","",13.2
Gymnodinium sp. A UL 1996 NAWQA,"",Retired,Algae,Dinoflagellates,Y,N,"",1406009,Gymnodinium,"",GYM,Y,N,Gymnodinium,"","","",3000046,Genus,Gymnodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"","","","","",13.2
