BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Encyonema minutum (Hilse) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema minutum,"",ECminutu,N,N,Encyonema minutum,(Hilse) Mann,"","",3006075,Species,Encyonema minutum (Hilse) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema minutum,"","","",13.2
Encyonema minutum,Krammer 1997 T1 Pl 6 Fig 19-27 Pl 25 Fig 1-10,Current,Algae,Diatom,N,N,"",110004,Encyonema minutum,"",ECminutu,N,N,Encyonema minutum,(Hilse) Mann,"","",3006076,Species,Encyonema minutum (Hilse) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema minutum,"","","",13.2
Encyonema nicafei,"",Current,Algae,Diatom,N,N,"","",Encyonema nicafei,"","",N,N,Encyonema nicafei,Spaulding,"","",3006077,Species,Encyonema nicafei Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema nicafei,"","","",13.2
Encyonema nicafei Spaulding,"",Current,Algae,Diatom,N,N,"","",Encyonema nicafei,"","",N,N,Encyonema nicafei,Spaulding,"","",3006078,Species,Encyonema nicafei Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema nicafei,"","","",13.2
Encyonema nicafei,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema nicafei,"","",N,N,Encyonema nicafei,Spaulding,"","",3006079,Species,Encyonema nicafei Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema nicafei,"","","",13.2
Encyonema norvegicum (Grunow) Mayer,"",Current,Algae,Diatom,N,N,"","",Encyonema norvegicum,"",ECnorve,N,N,Encyonema norvegicum,(Grunow) Mayer,"","",3006080,Species,Encyonema norvegicum (Grunow) Mayer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema norvegicum,"","","",13.2
Encyonema norvegicum,Krammer 1997 T2 Pl 107 Fig 5-11,Current,Algae,Diatom,N,N,"",110030,Encyonema norvegicum,"",ECnorve,N,N,Encyonema norvegicum,(Grunow) Mayer,"","",3006081,Species,Encyonema norvegicum (Grunow) Mayer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema norvegicum,"","","",13.2
Encyonema norvegicum,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema norvegicum,"",ECnorve,N,N,Encyonema norvegicum,(Grunow) Mayer,"","",3006082,Species,Encyonema norvegicum (Grunow) Mayer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema norvegicum,"","","",13.2
Encyonema paucistriatum (Cleve-Euler) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema paucistriatum,"",ECpaucis,N,N,Encyonema paucistriatum,(Cleve-Euler) Mann,"","",3006083,Species,Encyonema paucistriatum (Cleve-Euler) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema paucistriatum,"","","",13.2
Encyonema paucistriatum,KandL-B 2/1 Fig 119: 14-16,Current,Algae,Diatom,N,N,"",110049,Encyonema paucistriatum,"",ECpaucis,N,N,Encyonema paucistriatum,(Cleve-Euler) Mann,"","",3006084,Species,Encyonema paucistriatum (Cleve-Euler) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema paucistriatum,"","","",13.2
Encyonema pergracile Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema pergracile,"",ECpergra,N,N,Encyonema pergracile,Krammer,"","",3006085,Species,Encyonema pergracile Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema pergracile,"","","",13.2
Encyonema pergracile,Krammer 1997 T1 Pl 89 Fig 1-3,Current,Algae,Diatom,N,N,"",110023,Encyonema pergracile,"",ECpergra,N,N,Encyonema pergracile,Krammer,"","",3006086,Species,Encyonema pergracile Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema pergracile,"","","",13.2
Encyonema pergracile,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema pergracile,"",ECpergra,N,N,Encyonema pergracile,Krammer,"","",3006087,Species,Encyonema pergracile Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema pergracile,"","","",13.2
Encyonema perpusillum (Cleve-Euler) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema perpusillum,"",ECperpus,N,N,Encyonema perpusillum,(Cleve-Euler) Mann,"","",3006088,Species,Encyonema perpusillum (Cleve-Euler) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema perpusillum,"","","",13.2
Encyonema perpusillum,Krammer 1997 T2 Pl 110 Fig 1-16: Pl 111 Fig 1-8,Current,Algae,Diatom,N,N,"",110012,Encyonema perpusillum,"",ECperpus,N,N,Encyonema perpusillum,(Cleve-Euler) Mann,"","",3006089,Species,Encyonema perpusillum (Cleve-Euler) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema perpusillum,"","","",13.2
Encyonema prostratum (Berkeley) Ralfs,"",Retired,Algae,Diatom,N,N,"","",Encyonema prostratum,"",ECprostr,N,N,Encyonema prostratum,(Berkeley) Ralfs,"","",3006090,Species,Encyonema prostratum (Berkeley) Ralfs,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema prostratum,"","","",13.2
Encyonema prostratum,Krammer 1997 T2 Pl 115 Fig 1-5 Pl 116 Fig 1-6 Pl 117 Fig,Retired,Algae,Diatom,N,N,"",110013,Encyonema prostratum,"",ECprostr,N,N,Encyonema prostratum,(Berkeley) Ralfs,"","",3006091,Species,Encyonema prostratum (Berkeley) Ralfs,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema prostratum,"","","",13.2
Encyonema reichardtii,"",Current,Algae,Diatom,N,N,"","",Encyonema reichardtii,"",ECreicha,N,N,Encyonema reichardtii,(Krammer) Mann,"","",3006092,Species,Encyonema reichardtii (Krammer) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reichardtii,"","","",13.2
Encyonema reichardtii (Krammer) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema reichardtii,"",ECreicha,N,N,Encyonema reichardtii,(Krammer) Mann,"","",3006093,Species,Encyonema reichardtii (Krammer) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reichardtii,"","","",13.2
Encyonema reichardtii,Krammer 1997 T2 Pl 103 Fig 1-24,Current,Algae,Diatom,N,N,"",110014,Encyonema reichardtii,"",ECreicha,N,N,Encyonema reichardtii,(Krammer) Mann,"","",3006094,Species,Encyonema reichardtii (Krammer) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reichardtii,"","","",13.2
Encyonema reichardtii,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema reichardtii,"",ECreicha,N,N,Encyonema reichardtii,(Krammer) Mann,"","",3006095,Species,Encyonema reichardtii (Krammer) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reichardtii,"","","",13.2
Encyonema muelleri,Krammer 1997 T1 Pl 56 Fig 1-9,Deprecated,Algae,Diatom,N,N,"",110011,Encyonema reimeri,"",ECreimer,N,N,Encyonema reimeri,Spaulding,"","",3006096,Species,Encyonema reimeri Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reimeri,"","","",13.2
Encyonema reimeri,"",Current,Algae,Diatom,N,N,"","",Encyonema reimeri,"",ECreimer,N,N,Encyonema reimeri,Spaulding,"","",3006097,Species,Encyonema reimeri Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reimeri,"","","",13.2
Encyonema reimeri Spaulding,"",Current,Algae,Diatom,N,N,"","",Encyonema reimeri,"",ECreimer,N,N,Encyonema reimeri,Spaulding,"","",3006098,Species,Encyonema reimeri Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reimeri,"","","",13.2
Encyonema reimeri,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema reimeri,"",ECreimer,N,N,Encyonema reimeri,Spaulding,"","",3006099,Species,Encyonema reimeri Spaulding,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema reimeri,"","","",13.2
Encyonema silesiacum (Bleisch) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema silesiacum,"",ECsilesi,N,N,Encyonema silesiacum,(Bleisch) Mann,"","",3006100,Species,Encyonema silesiacum (Bleisch) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"","","",13.2
Encyonema silesiacum,"",Current,Algae,Diatom,N,N,"","",Encyonema silesiacum,"",ECsilesi,N,N,Encyonema silesiacum,(Bleisch) Mann,"","",3006101,Species,Encyonema silesiacum (Bleisch) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"","","",13.2
Encyonema silesiacum,Krammer 1997 T1 Pl 4 Fig 1-18 Pl 7 Fig 1 2 6-19,Current,Algae,Diatom,N,N,"",110005,Encyonema silesiacum,"",ECsilesi,N,N,Encyonema silesiacum,(Bleisch) Mann,"","",3006102,Species,Encyonema silesiacum (Bleisch) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"","","",13.2
Encyonema silesiacum var. altensis Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema silesiacum var. altensis,"",ECsilalt,N,N,Encyonema silesiacum var. altensis,Krammer,"","",3006103,Variety,Encyonema silesiacum var. altensis Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. altensis,"",13.2
Encyonema silesiacum var. altensis,Krammer 1997 T1 Pl 9 Fig 9-19,Current,Algae,Diatom,N,N,"",110029,Encyonema silesiacum var. altensis,"",ECsilalt,N,N,Encyonema silesiacum var. altensis,Krammer,"","",3006104,Variety,Encyonema silesiacum var. altensis Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. altensis,"",13.2
Encyonema silesiacum var. excisa Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema silesiacum var. excisa,"",ECsilex,N,N,Encyonema silesiacum var. excisa,Krammer,"","",3006105,Variety,Encyonema silesiacum var. excisa Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. excisa,"",13.2
Encyonema silesiacum var. excisa,Krammer 1997 T1 Pl 11 Fig 13-14,Current,Algae,Diatom,N,N,"",110024,Encyonema silesiacum var. excisa,"",ECsilex,N,N,Encyonema silesiacum var. excisa,Krammer,"","",3006106,Variety,Encyonema silesiacum var. excisa Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. excisa,"",13.2
Encyonema silesiacum var. lata,"",Current,Algae,Diatom,N,N,"","",Encyonema silesiacum var. lata,"","",N,N,Encyonema silesiacum var. lata,"","","",3006107,Variety,Encyonema silesiacum var. lata,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. lata,"",13.2
Encyonema silesiacum var. lata,Krammer 1997 Pl 12 Fig 11-14,Current,Algae,Diatom,N,N,"","",Encyonema silesiacum var. lata,"","",N,N,Encyonema silesiacum var. lata,"","","",3006108,Variety,Encyonema silesiacum var. lata,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema silesiacum,"",Encyonema silesiacum var. lata,"",13.2
Encyonema sinicum Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema sinicum,"",ECsinicu,N,N,Encyonema sinicum,Krammer,"","",3006109,Species,Encyonema sinicum Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema sinicum,"","","",13.2
Encyonema sinicum,Krammer 1997 T1 Pl 72 Fig 1-9,Current,Algae,Diatom,N,N,"",110032,Encyonema sinicum,"",ECsinicu,N,N,Encyonema sinicum,Krammer,"","",3006110,Species,Encyonema sinicum Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema sinicum,"","","",13.2
Encyonema muelleri fo. ventricosum,Krammer 1997 T2 Pl 191 Fig 6,Deprecated,Algae,Diatom,N,N,"",110041,Encyonema temperei,"",ECtemper,N,N,Encyonema temperei,Krammer,"","",3006111,Species,Encyonema temperei Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema temperei,"","","",13.2
Encyonema temperei Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema temperei,"",ECtemper,N,N,Encyonema temperei,Krammer,"","",3006112,Species,Encyonema temperei Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema temperei,"","","",13.2
Encyonema temperei,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema temperei,"",ECtemper,N,N,Encyonema temperei,Krammer,"","",3006113,Species,Encyonema temperei Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema temperei,"","","",13.2
Encyonema tenuissimum (Hustedt) Mann,"",Current,Algae,Diatom,N,N,"","",Encyonema tenuissimum,"",ECtenuis,N,N,Encyonema tenuissimum,(Hustedt) Mann,"","",3006114,Species,Encyonema tenuissimum (Hustedt) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema tenuissimum,"","","",13.2
Encyonema tenuissimum,Krammer 1997 T1 Pl 99 Fig 8-14,Current,Algae,Diatom,N,N,"",110015,Encyonema tenuissimum,"",ECtenuis,N,N,Encyonema tenuissimum,(Hustedt) Mann,"","",3006115,Species,Encyonema tenuissimum (Hustedt) Mann,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema tenuissimum,"","","",13.2
Encyonema trianguliforme Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema trianguliforme,"",ECtrifor,N,N,Encyonema trianguliforme,Krammer,"","",3006116,Species,Encyonema trianguliforme Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema trianguliforme,"","","",13.2
Encyonema trianguliforme,Krammer 1997 T1 Pl 73 Fig 1-5,Current,Algae,Diatom,N,N,"",110028,Encyonema trianguliforme,"",ECtrifor,N,N,Encyonema trianguliforme,Krammer,"","",3006117,Species,Encyonema trianguliforme Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema trianguliforme,"","","",13.2
Cymbella triangulum (Ehrenberg) Cleve,"",Deprecated,Algae,Diatom,N,N,"","",Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006118,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Cymbella triangulum,PandR 1975 Pl 7 Fig 7-10,Deprecated,Algae,Diatom,N,N,"",23081,Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006119,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Encyonema triangulum (Ehrenberg) Kützing,"",Current,Algae,Diatom,N,N,"","",Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006120,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Encyonema triangulum,"",Current,Algae,Diatom,N,N,"","",Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006121,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Encyonema triangulum,Krammer 1997 T1 Pl 76 Fig 5-8 Pl 77 Fig 1-8 Pl 78 Fig 1,Current,Algae,Diatom,N,N,"",110016,Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006122,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Encyonema triangulum,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema triangulum,"",ECtriang,N,N,Encyonema triangulum,(Ehrenberg) Kützing,"","",3006123,Species,Encyonema triangulum (Ehrenberg) Kützing,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema triangulum,"","","",13.2
Encyonema yellowstonianum,"",Current,Algae,Diatom,N,N,"","",Encyonema yellowstonianum,"","",N,N,Encyonema yellowstonianum,Krammer,"","",3006124,Species,Encyonema yellowstonianum Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema yellowstonianum,"","","",13.2
Encyonema yellowstonianum Krammer,"",Current,Algae,Diatom,N,N,"","",Encyonema yellowstonianum,"","",N,N,Encyonema yellowstonianum,Krammer,"","",3006125,Species,Encyonema yellowstonianum Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema yellowstonianum,"","","",13.2
Encyonema yellowstonianum,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonema yellowstonianum,"","",N,N,Encyonema yellowstonianum,Krammer,"","",3006126,Species,Encyonema yellowstonianum Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonema,"",Encyonema yellowstonianum,"","","",13.2
Encyonopsis,"",Current,Algae,Diatom,N,N,"","",Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006127,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis aff. cesatii EAM,"",Retired,Algae,Diatom,Y,N,"",203006,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006128,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis cf. falaisensis,"",Retired,Algae,Diatom,Y,N,"",203026,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006129,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis cf. microcephala CALACAD,"",Retired,Algae,Diatom,Y,N,"",203005,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006130,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis cf. microcephala UMICH,"",Retired,Algae,Diatom,Y,N,"",203004,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006131,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis sp. 1 ?,"",Current,Algae,Diatom,Y,N,"",203017,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006132,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis sp. 1 SESQA,"",Current,Algae,Diatom,N,N,"","",Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006133,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Encyonopsis spp.,"",Current,Algae,Diatom,Y,N,"",203016,Encyonopsis,"","",Y,N,Encyonopsis,"","","",3006134,Genus,Encyonopsis,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"","","","","",13.2
Cymbella aequalis Smith,"",Deprecated,Algae,Diatom,N,N,"","",Encyonopsis aequalis,"",ENaequal,N,N,Encyonopsis aequalis,(Smith) Krammer,"","",3006135,Species,Encyonopsis aequalis (Smith) Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis aequalis,"","","",13.2
Cymbella aequalis,KandL-B 2/1 Pl 134 Fig 1-3,Deprecated,Algae,Diatom,N,N,"",23096,Encyonopsis aequalis,"",ENaequal,N,N,Encyonopsis aequalis,(Smith) Krammer,"","",3006136,Species,Encyonopsis aequalis (Smith) Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis aequalis,"","","",13.2
Encyonopsis aequalis,KandL-B 2/1 Pl 134 Fig 1-3,Current,Algae,Diatom,N,N,"",203019,Encyonopsis aequalis,"",ENaequal,N,N,Encyonopsis aequalis,(Smith) Krammer,"","",3006137,Species,Encyonopsis aequalis (Smith) Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis aequalis,"","","",13.2
Encyonopsis alpina,"",Current,Algae,Diatom,N,N,"","",Encyonopsis alpina,"","",N,N,Encyonopsis alpina,Krammer,"","",3006138,Species,Encyonopsis alpina Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis alpina,"","","",13.2
Encyonopsis alpina,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonopsis alpina,"","",N,N,Encyonopsis alpina,Krammer,"","",3006139,Species,Encyonopsis alpina Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis alpina,"","","",13.2
Encyonopsis cesatiformis,"",Current,Algae,Diatom,N,N,"","",Encyonopsis cesatiformis,"","",N,N,Encyonopsis cesatiformis,Krammer,"","",3006140,Species,Encyonopsis cesatiformis Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis cesatiformis,"","","",13.2
Encyonopsis cesatiformis,Diatoms of the United States,Current,Algae,Diatom,N,N,"","",Encyonopsis cesatiformis,"","",N,N,Encyonopsis cesatiformis,Krammer,"","",3006141,Species,Encyonopsis cesatiformis Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis cesatiformis,"","","",13.2
Encyonopsis cesatii,"",Retired,Algae,Diatom,N,N,"","",Encyonopsis cesatii,"",EYcesati,N,N,Encyonopsis cesatii,(Rabenhorst) Krammer,"","",3006142,Species,Encyonopsis cesatii (Rabenhorst) Krammer,Heterokontophyta,"","",Bacillariophyceae,Bacillariophycidae,"","",Cymbellales,"","","",Cymbellaceae,"","",Encyonopsis,"",Encyonopsis cesatii,"","","",13.2
