code;region;
JunnPln_Jnn4;Ons4;JuninPlain
JunnPln_Jnn8;UpB1;JuninPlain
JunnPln_Jnn5;Cns2;JuninPlain
JunnPln_Jnn5;Cns3;JuninPlain
JunnPln_Jnn5;Cns4;JuninPlain
JunnPln_J11;GK251;JuninPlain
JunnPln_Jnn6;CR.2;JuninPlain
JunnPln_Jnn6;CR.3;JuninPlain
JunnPln_Jnn6;CR.4;JuninPlain
JunnPln_Jn7;SPdP1;JuninPlain
JunnPln_Jnn8;UpB2;JuninPlain
JunnPln_Jnn8;UpB3;JuninPlain
JunnPln_Jnn8;UpB4;JuninPlain
JunnPln_J13;Qd.A1;JuninPlain
JunnPln_Jnn9;dbS2;JuninPlain
JunnPln_Jnn9;dbS3;JuninPlain
JunnPln_Jnn9;dbS4;JuninPlain
JunnPln_L.Alcc;s1;JuninPlain
JunnPln_L.Alcc;s2;JuninPlain
JunnPln_L.Jnn;cn1;JuninPlain
JunnPln_Jnn12;Ch1;JuninPlain
JunnPln_Jnn6;CR.1;JuninPlain
JunnPln_L.Jnn;cn2;JuninPlain
JunnPln_L.Jnn;cn3;JuninPlain
JunnPln_L.Jnn;cn4;JuninPlain
JunnPln_L.Jnn;sh1;JuninPlain
JunnPln_L.Jnn;sh2;JuninPlain
JunnPln_L.Jnn;sh3;JuninPlain
JunnPln_L.Jnn;sh4;JuninPlain
JunnPln_Jnn5;Cns1;JuninPlain
JunnPln_L.Llcc;s2;JuninPlain
JunnPln_L.Pc;12d1;JuninPlain
JunnPln_L.Pc;12d2;JuninPlain
JunnPln_L.Pc;12d3;JuninPlain
JunnPln_Jnn4;Ons1;JuninPlain
JunnPln_L.Pc;ins2;JuninPlain
JunnPln_L.Pc;srf1;JuninPlain
JunnPln_L.Pc;srf2;JuninPlain
JunnPln_L.Pc;srf3;JuninPlain
JunnPln_L.Alcc;s3;JuninPlain
JunnPln_Jnn2;Wrs1;JuninPlain
JunnPln_L.Prn;sh2;JuninPlain
JunnPln_Jnn3;sp21;JuninPlain
JunnPln_L.Tl;shr2;JuninPlain
JunnPln_Jnn1;CR.1;JuninPlain
JunnPln_L.Yncc;s2;JuninPlain
JunnPln_L.Yncc;s3;JuninPlain
JunnPln_L.Yncc;s4;JuninPlain
JunnPln_HgpCv;in;JuninPlain
JunnPln_Yncc4;oc;JuninPlain
JunnPln_L.Pc;ins1;JuninPlain
JunnPln_Yncch3;s1;JuninPlain
JunnPln_Yncch3;s2;JuninPlain
JunnPln_Yncch3;s3;JuninPlain
JunnPln_Yncch3;s4;JuninPlain
LacCore_ChrrrsVl;Ecuador-Andean;
LacCore_LagunSec1;Chile-Andean;
LacCore_LagunSec2;Chile-Andean;
LacCore_LgndlsPz1;Argentina-Andean;
LacCore_LgndlsPz2;Argentina-Andean;
LacCore_LgndlsPz3;Argentina-Andean;
LacCore_LgnMscnt1;Chile-Andean;
LacCore_LgnMscnt2;Chile-Andean;
LacCore_LgndlNgF1;Chile-Andean;
LacCore_LgndlNgF2;Chile-Andean;
LacCore_LagunLBr;Argentina-Andean;
LacCore_LgnTtMrn;Argentina-Andean;
LacCore_LagoGaiv1;Pantanal;
LacCore_LagoGaiv2;Pantanal;
LacCore_LgnBmbll;Tierra del Fuego;
LacCore_AgsBlncs;Tierra del Fuego;
LacCore_unnamdlk;Tierra del Fuego;
LacCore_LagnAmrg;Tierra del Fuego;
LB(Chn)_Chungara1;Lauca Basin;
LB(Chn)_Chungara2;Lauca Basin;
LB(Chn)_Chungara3;Lauca Basin;
LaucBsn_CotaVint1;Lauca Basin;
LaucBsn_CotaVint2;Lauca Basin;
LaucBsn_CotaVint3;Lauca Basin;
LaucBsn_Cotacotn1;Lauca Basin;
LaucBsn_Cotacotn2;Lauca Basin;
LaucBsn_Cotacotn3;Lauca Basin;
LaucBsn_Cotacotn4;Lauca Basin;
LaucBsn_Cotacotn5;Lauca Basin;
Myl-B-LagonSrz;Bolivia-Beni;
Myl-B-LgnCrnnd;Bolivia-Beni;
Myl-B-LagonAzl;Bolivia-Beni;
Myl-B-LagnCtrm;Bolivia-Beni;
Myl-B-LagonBln;Bolivia-Beni;
Myl-B-LagonHch;Bolivia-Beni;
Myl-B-LgnLmSrz;Bolivia-Beni;
Myl-B-LgnPntdI;Bolivia-Beni;
Myl-B-LagnIsrr;Bolivia-Beni;
Myl-B-LgnLsPnt;Bolivia-Beni;
Myl-P-LagnMndr;Pantanal;
Myl-P-LagoonGb;Pantanal;
Sml-McE_Llaviacu;Ecuador-Andean;
Sml-McE_Patoquns;Ecuador-Andean;
Sml-McE_FondCoch;Ecuador-Andean;
Sml-McE_Toreador;Ecuador-Andean;
Sml-McE_Illincch;Ecuador-Andean;
Sml-McE_LgnsdNpl;Ecuador-Andean;
Sml-McE_CajsPnd1;Ecuador-Andean;
Sml-McE_Larga;Ecuador-Andean;
Sml-McE_LaddLarg;Ecuador-Andean;
Sml-McE_Negra;Ecuador-Andean;
Sml-McE_Apicocha;Ecuador-Andean;
Sml-McE_ChrrrsLk;Ecuador-Andean;
Titicac_Ttcc-l-1a;Titicaca-lake;
Titicac_Ttcc-l-1b;Titicaca-lake;
Titicac_Ttcc-l-2a;Titicaca-lake;
Titicac_Ttcc-l-2b;Titicaca-lake;
Titicac_Ttcc-l-3a;Titicaca-lake;
Titicac_Ttcc-l-3b;Titicaca-lake;
Titicac_Ttcc-l-4a;Titicaca-lake;
Titicac_Ttcc-l-4b;Titicaca-lake;
Titicac_Ttcc-l-5a;Titicaca-lake;
Titicac_Ttcc-l-5b;Titicaca-lake;
Titicac_Ttcc-l-6;Titicaca-lake;
Titicac_Ttcc-l-7;Titicaca-lake;
Titicac_Ttcc-l-8a;Titicaca-lake;
Titicac_Ttcc-l-8b;Titicaca-lake;
Titicac_Ttcc-l-9;Titicaca-lake;
Titicac_Ttcc-l-10a;Titicaca-lake;
Titicac_Ttcc-l-10b;Titicaca-lake;
Titicac_Ttcc-l-10c;Titicaca-lake;
Titicac_Ttcc-l-11;Titicaca-lake;
Titicac_Ttcc-l-12a;Titicaca-lake;
Titicac_Ttcc-l-12b;Titicaca-lake;
Titicac_Ttcc-l-13a;Titicaca-lake;
Titicac_Ttcc-l-13b;Titicaca-lake;
Titicac_Ttcc-l-13c;Titicaca-lake;
Titicac_Ttcc-l-14;Titicaca-lake;
Titicac_Ttcc-l-15;Titicaca-lake;
Titicac_Ttcc-l-16;Titicaca-lake;
Titicac_Ttcc-l-17;Titicaca-lake;
Titicac_Ttcc-l-18;Titicaca-lake;
Titicac_Ttcc-l-19;Titicaca-lake;
Titicac_Ttcc-l-20;Titicaca-lake;
Titicac_Ttcc-l-21;Titicaca-lake;
Titicac_Ttcc-l-22a;Titicaca-lake;
Titicac_Ttcc-l-22b;Titicaca-lake;
Titicac_Ttcc-l-22c;Titicaca-lake;
Titicac_Ttcc-l-23a;Titicaca-lake;
Titicac_Ttcc-l-23b;Titicaca-lake;
