taxon_original;harmonized_taxon_names;revised_harmonized_taxon_name
Cymbella  parva (W. Sm.) Cl. var. parva;Cymbella parva;Cymbella parva
Cymbella peraspera;Cymbella peraspera;Cymbella peraspera
Cymbella peraspera;Cymbella peraspera;Cymbella peraspera
Cymbella peraspera Krammer;Cymbella peraspera;Cymbella peraspera
Cymbella proxima;Cymbella proxima;Cymbella proxima
Cymbella rainierensis;Cymbella rainierensis;Cymbella rainierensis
Cymbella sp (cf. C. descripta);Cymbella sp descripta;Cymbella sp descripta
Cymbella sp. 1;Cymbella sp. 1 GALAPAGOS;Cymbella sp. 1 GALAPAGOS
Cymbella sp. 2;Cymbella sp. 2 GALAPAGOS;Cymbella sp. 2 GALAPAGOS
Cymbella sp. 3;Cymbella sp. 3 GALAPAGOS;Cymbella sp. 3 GALAPAGOS
Cymbella sp. 5;Cymbella sp. 5;Cymbella sp. 5
Cymbella Cymbella sp. 1 (22æm, 5æm, 13 striae/10æm);Cymbella sp.1;Cymbella sp.1
Cymbella sp1;Cymbella sp.1 CAUCA;Cymbella sp.1 CAUCA
Cymbella sp.;Cymbella sp.1 DESCANSO;Cymbella sp.1 DESCANSO
Cymbella sp. 3 (30æm, 7æm, 15 striae/10æm);Cymbella sp.10;Cymbella sp.10
Cymbella  sp. 2 (27æm, 10æm, 12 striae/10æm);Cymbella sp.2;Cymbella sp.2
Cymbella sp2(malla);Cymbella sp.2 CAUCA;Cymbella sp.2 CAUCA
"Cymbella  sp. 4 (55æm, 9æm, 12 striae/10æm; lunata?)";Cymbella sp.3;Cymbella sp.3
Cymbella sp.3;Cymbella sp.3;Cymbella sp.3
"Cymbella  sp. 5 (21æm, 7æm, 14 striae/10æm; minuta?) ";Cymbella sp.4;Cymbella sp.4
Cymbella  sp. 6;Cymbella sp.5;Cymbella sp.5
Cymbella  sp. 6;Cymbella sp.6;Cymbella sp.6
Cymbella  sp. 7;Cymbella sp.7;Cymbella sp.7
Cymbella sp. 1 (30æm, 8æm, 2 septa/10æm);Cymbella sp.8;Cymbella sp.8
Cymbella sp. 2 (10æm, 3æm, indistinct striae);Cymbella sp.9;Cymbella sp.9
Cymbella sp.;Cymbella spp.;Cymbella spp.
Cymbella?;Cymbella spp.;Cymbella spp.
Cymbella spp;Cymbella spp.;Cymbella spp.
Cymbella spp;Cymbella spp.;Cymbella spp.
Cymbella sensu lato spp;Cymbella spp.;Cymbella spp.
Cymbella sensu lato spp;Cymbella spp.;Cymbella spp.
Cymbella sensu lato spp;Cymbella spp.;Cymbella spp.
Cymbella (other);Cymbella spp.;Cymbella spp.
Cymbella viridula;Cymbella spp.;Cymbella spp.
Cymbella subtilis Grun. var. subtilis;Cymbella subtilis;Cymbella subtilis
Cymbella thienewanii;Cymbella thienewanii;Cymbella thienewanii
Cymbella  tumida (Ktz.) V. H. var. tumida;Cymbella tumida;Cymbella tumida
Cymbella tumida;Cymbella tumida;Cymbella tumida
Cymbella tumida;Cymbella tumida;Cymbella tumida
Cymbella tumida (Br‚bisson) Van Heurck    ;Cymbella tumida;Cymbella tumida
Cymbella tumida (Br‚bisson ex Ktzing) Van Heurck;Cymbella tumida;Cymbella tumida
Cymbella tumidula Grun. ex A. S. var. tumidula;Cymbella tumidula var tumidula;Cymbella tumidula var. tumidula
Cymbella turgida;Cymbella turgida;Cymbella turgida
Cymbella ventricosa;Cymbella ventricosa;Cymbella ventricosa
Cymbella ventricosa;Cymbella ventricosa;Cymbella ventricosa
Cymbella ventricosa;Cymbella ventricosa;Cymbella ventricosa
Cymbella ventricosa;Cymbella ventricosa;Cymbella ventricosa
Cymbella  yarrensis (A. S.) Cl. var yarrensis;Cymbella yarrensis;Cymbella yarrensis
Cymbella yarrensis ;Cymbella yarrensis;Cymbella yarrensis
Cymbella diluviana (Ktz.) Florin var. diluviana;Cymbellonitzschia diluviana;Cymbellonitzschia diluviana
Cymbellonitzschoa sp.1 MISCANTI;Cymbellonitzschia sp.1 MISCANTI;Cymbellonitzschia sp.1 MISCANTI
Cymbella  acuta (A. S.) Cl. var. acuta;Cymbopleura acuta;Cymbopleura acuta
Cymbella acuta;Cymbopleura acuta;Cymbopleura acuta
Cymbella amphicephala;Cymbopleura amphicephala;Cymbopleura amphicephala
Cymbella amphicephala Ktz. amphicephala;Cymbopleura amphicephala;Cymbopleura amphicephala
Cymbopleura sp (cf. C. hybridica);Cymbopleura cf hybrida;Cymbopleura cf. hybrida
Cymbopleura cf tsoneka;Cymbopleura cf tsoneka;Cymbopleura cf. tsoneka
Cymbella  cuspidata Kutz. var. cuspidata;Cymbopleura cuspidata;Cymbopleura cuspidata
Cymbella  hauckii V. H. var. hauckii;Cymbopleura hauckii;Cymbopleura hauckii
Cymbella hybrida Grun. ex Cl. var. hybrida;Cymbopleura hybrida;Cymbopleura hybrida
Cymbella ehrenbergii;Cymbopleura inaequalis;Cymbopleura inaequalis
Cymbella  ehrenbergii var. ehrenbergii f. ventricosa A. Cl.;Cymbopleura inaequalis;Cymbopleura inaequalis
Cymbopleura inca;Cymbopleura inca;Cymbopleura inca
Cymbopleura inca;Cymbopleura inca;Cymbopleura inca
Cymbopleura  inca;Cymbopleura inca;Cymbopleura inca
Cymbella hybrida lanceolata;Cymbopleura lanceolata;Cymbopleura lanceolata
Cymbopleura lanceolata;Cymbopleura lanceolata;Cymbopleura lanceolata
Cymbella  naviculiformis Auer. ex Heib. var. naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymblopleura naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymblopleura naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella naviculiformis Auerswald ex Heiberg;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella naviculiformis;Cymbopleura naviculiformis;Cymbopleura naviculiformis
Cymbella  rainierensis Sov. var. rainierensis;Cymbopleura rainierensis;Cymbopleura rainierensis
Cymbella rupicola Grun. var. rupicola;Cymbopleura rupicola;Cymbopleura rupicola
Cymbopleura sp.1 AZUL;Cymbopleura sp.1 AZUL;Cymbopleura sp.1 AZUL
Cymbella subcuspidata Krammer;Cymbopleura subcuspidata;Cymbopleura subcuspidata
Cymbella delicatula;Delicatula delicatula;Delicatula delicatula
Delphineis angustata;Delphineis angustata;Delphineis angustata
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans Ku?tzing  ;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans;Denticula elegans;Denticula elegans
Denticula elegans valida;Denticula elegans var valida;Denticula elegans var. valida
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula;Denticula kuetzingii;Denticula kuetzingii
Nitzschia kuetzingii rumrichae;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula Grun. var. denticula ;Denticula kuetzingii;Denticula kuetzingii
Nitzschia kutzingiana ;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula;Denticula kuetzingii;Denticula kuetzingii
Nitzschia denticula;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Denticula kuetzingii;Denticula kuetzingii;Denticula kuetzingii
Denticula sp;Denticula sp. 1 DESCANSO;Denticula sp. 1 DESCANSO
Denticula sp.;Denticula sp.1;Denticula sp.1
Denticula sp. 2;Denticula sp.2 GALAPAGOS;Denticula sp.2 GALAPAGOS
Denticula spp.;Denticula spp.;Denticula spp.
Denticula subtilis;Denticula subtilis;Denticula subtilis
Denticula subtilis;Denticula subtilis;Denticula subtilis
Denticula thermalis;Denticula thermalis;Denticula thermalis
Denticula thermalis;Denticula thermalis;Denticula thermalis
Denticula thermalis;Denticula thermalis;Denticula thermalis
Denticula valida;Denticula valida;Denticula valida
Denticula valida;Denticula valida;Denticula valida
Denticula valida (Pedicino) Grunow    ;Denticula valida;Denticula valida
Denticula valida;Denticula valida;Denticula valida
Desmogonium cf raben;Desmogonium cf rabenhorstianum;Desmogonium cf. rabenhorstianum
Desmogonium  guianense Ehr. var. guianense;Desmogonium guinense;Desmogonium guinense
Desmogonium rabenhorstianum;Desmogonium rabenhorstianum;Desmogonium rabenhorstianum
Desmogonium sp.;Desmogonium sp.;Desmogonium sp.
Desmogonium sp.;Desmogonium sp.;Desmogonium sp.
Diadesmis arcuata;Diadesmis arcuata;Diadesmis arcuata
Diadesmis cf lacunosa;Diadesmis cf lacunosa;Diadesmis cf. lacunosa
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Navicula confervacea;Diadesmis confervacea;Diadesmis confervacea
Navicula confervacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea?;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervaces;Diadesmis confervacea;Diadesmis confervacea
Diadesmis cofervacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Navicula  confervacea (Kutz.) Grun. var. confercvacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Diadesmis confervacea;Diadesmis confervacea;Diadesmis confervacea
Navicula  confervacea var. peregrina (W. Smith) Grun.;Diadesmis confervacea var peregrina;Diadesmis confervacea var. peregrina
Diadesmis contenta;Diadesmis contenta;Diadesmis contenta
Diadesmis contenta;Diadesmis contenta;Diadesmis contenta
Diadesmis contenta;Diadesmis contenta;Diadesmis contenta
Diadesmis  contenta var. biceps (Grun.) Hamilton, comb. Nov.;Diadesmis contenta var biceps;Diadesmis contenta var. biceps
Navicula gallica;Diadesmis gallica;Diadesmis gallica
Diadesmis gallica Smith;Diadesmis gallica;Diadesmis gallica
Navicula gallica;Diadesmis gallica;Diadesmis gallica
Diadesmis ingeaeformis;Diadesmis ingeaeformis;Diadesmis ingeaeformis
Diadesmis spp.;Diadesmis spp.;Diadesmis spp.
Diatom?cf vol7;Diatom spp.;Diatom spp.
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon Ktzing;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon Ktzing;Diatoma mesodon;Diatoma mesodon
Diatoma mesodon;Diatoma mesodon;Diatoma mesodon
Diatoma moniliformis;Diatoma moniliformis;Diatoma moniliformis
Diatoma moniliformis;Diatoma moniliformis;Diatoma moniliformis
Diatoma monoliformis;Diatoma moniliformis;Diatoma moniliformis
Diatoma moniliformis Ktzing;Diatoma moniliformis;Diatoma moniliformis
Diatoma sp;Diatoma sp.1 DESCANSO;Diatoma sp.1 DESCANSO
Diatoma sp.1 UYUNI;Diatoma sp.1 UYUNI;Diatoma sp.1 UYUNI
Diatoma tenius;Diatoma tenuis;Diatoma tenuis
Diatoma tenius;Diatoma tenuis;Diatoma tenuis
Diatoma tenuis C.A. Afardh 1812;Diatoma tenuis;Diatoma tenuis
Diatoma tenuis;Diatoma tenuis;Diatoma tenuis
Diatoma tenuis;Diatoma tenuis;Diatoma tenuis
Diatoma tenuis;Diatoma tenuis;Diatoma tenuis
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris Bory   ;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diatoma vulgaris;Diatoma vulgaris;Diatoma vulgaris
Diploneis aff. Elliptica (Ku?tzing) Cleve  ;Diploneis aff elliptica;Diploneis aff. elliptica
Diploneis cf subovalis;Diploneis cf subovalis;Diploneis cf. subovalis
Diploneis sp (cf. D. subovalis);Diploneis cf subovalis;Diploneis cf. subovalis
Diploneis chilensis;Diploneis chilensis;Diploneis chilensis
Diploneis chilensis;Diploneis chilensis;Diploneis chilensis
Diploneis finnica;Diploneis elliptica var elliptica;Diploneis elliptica var. elliptica
Diploneis  elliptica (Ktz.) Cl. var. elliptica;Diploneis elliptica var elliptica;Diploneis elliptica var. elliptica
Diploneis elliptica;Diploneis elliptica var elliptica;Diploneis elliptica var. elliptica
Diploneis elliptica;Diploneis elliptica var elliptica;Diploneis elliptica var. elliptica
Diploneis gruendlerii ;Diploneis gruendlerii;Diploneis gruendlerii
Diploneis kahlii Lange-Bertalot et Rumrich;Diploneis kahlii;Diploneis kahlii
Diploneis krammeri;Diploneis krammeri;Diploneis krammeri
Diploneis krammeri;Diploneis krammeri;Diploneis krammeri
Diploneis notabilis ;Diploneis notabilis;Diploneis notabilis
Diploneis  ostracodarum (Pant.) Jur. var. ostracodarum;Diploneis ostracodarum var ostracodarum;Diploneis ostracodarum var. ostracodarum
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis ovalis;Diploneis ovalis;Diploneis ovalis
Diploneis parma;Diploneis parma;Diploneis parma
Diploneis pseudovalis;Diploneis pseudovalis;Diploneis pseudovalis
Diploneis  pseudovalis Hust. var. pseudovalis;Diploneis pseudovalis var pseudovalis;Diploneis pseudovalis var. pseudovalis
Diploneis puella ;Diploneis puella;Diploneis puella
Diploneis smithii;Diploneis smithii;Diploneis smithii
Diploneis smithii;Diploneis smithii;Diploneis smithii
Diploneis smithii ;Diploneis smithii;Diploneis smithii
Diploneis smithii;Diploneis smithii;Diploneis smithii
Diploneis  smithii var. dilatata (m. Per.) Boyer;Diploneis smithii var dilatata;Diploneis smithii var. dilatata
Diploneis  smithii var. pumila (Grun.) Hust;Diploneis smithii var pumila;Diploneis smithii var. pumila
Diploneis  sp. 1 (11æm, 7æm, 15 striae/10æm);Diploneis sp.1;Diploneis sp.1
Diploneis sp;Diploneis spp.;Diploneis spp.
Diploneis sp.;Diploneis spp.;Diploneis spp.
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Diploneis subovalis;Diploneis subovalis;Diploneis subovalis
Discotella pseudostelligera;Discostella pseudostelligera;Discostella pseudostelligera
Discotella pseudostelligera;Discostella pseudostelligera;Discostella pseudostelligera
Cyclotella  pseudostelligera Hustedt;Discostella pseudostelligera;Discostella pseudostelligera
Cyclotella pseudostelligera;Discostella pseudostelligera;Discostella pseudostelligera
Cyclotella pseudostelligera;Discostella pseudostelligera;Discostella pseudostelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Discotella stelligera;Discostella stelligera;Discostella stelligera
Discotella stelligera;Discostella stelligera;Discostella stelligera
Discotella stelligera (complex);Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera Cl. & Grun. var. stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Discostella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Cyclotella stelligera (complex);Discostella stelligera;Discostella stelligera
Cyclotella stelligera;Discostella stelligera;Discostella stelligera
Discotella stelligeroides;Discotella stelligeroides;Discotella stelligeroides
Discotella stelligeroides;Discotella stelligeroides;Discotella stelligeroides
Ecyonema pseudomuelleri Krammer    ;Ecyonema pseudomuelleri;Ecyonema pseudomuelleri
Encyonema  brehmii (Hust.)var. Mann (Round, Crawford & Mann);Encyonema aff norvegicum;Encyonema aff. norvegicum
Encyonema  lunatum (W. Smith in Greville) Van Heuck.;Encyonema alpinum;Encyonema alpinum
Encyonema aff norvegicum;Encyonema alpinum;Encyonema alpinum
Encyonema alpinum;Encyonema aueri;Encyonema aueri
Encyonema alpinum;Encyonema auerswaldii;Encyonema auerswaldii
Encyonema aueri;Encyonema brehmii;Encyonema brehmii
Encyonema  prostrata var. auerswaldii (Rabh.) Reim.;Encyonema brevicapitatum;Encyonema brevicapitatum
Encyonema brevicapitatum Krammer;Encyonema caespitosum;Encyonema caespitosum
Encyononema caespitosum;Encyonema caespitosum;Encyonema caespitosum
Encyonema caespitosum;Encyonema caespitosum;Encyonema caespitosum
Encyonema caespitosum;Encyonema cf brevicapitatum;Encyonema cf. brevicapitatum
Encyonema cf. brevicapitatum Krammer;Encyonema cf gracile;Encyonema cf. gracile
Encyonema sp (cf. E. gracile);Encyonema cf krammeri;Encyonema cf. krammeri
Encyonema cf. krammeri;Encyonema cf lange-bertalotii;Encyonema cf. lange-bertalotii
Encyonema sp (cf. E. lange-bertalotii);Encyonema cf lange-bertalotii;Encyonema cf. lange-bertalotii
Encyonema sp (cf. E. lange-bertalotii);Encyonema cf minutiforme;Encyonema cf. minutiforme
Encyonopsis cf minutiforme;Encyonema cf minutiforme;Encyonema cf. minutiforme
Encyonopsis cf minutiforme;Encyonema cf minutiforme;Encyonema cf. minutiforme
Encyonema cf minutiforme;Encyonema cf subelginensis;Encyonema cf. subelginensis
Encyonema cf subelginensis;Encyonema chilense;Encyonema chilense
Encyonema chilense;Encyonema chilense;Encyonema chilense
Encyonema chilense;Encyonema chilense;Encyonema chilense
Encyonema chilense Krammer   ;Encyonema evergladianum;Encyonema evergladianum
Encyonema evergladianum;Encyonema fogedii;Encyonema fogedii
Encyonema fogedii;Encyonema gaeumannii;Encyonema gaeumannii
Encyonema gauemani;Encyonema gaeumannii;Encyonema gaeumannii
Encyonema gauemani;Encyonema gaeumannii;Encyonema gaeumannii
Cymbella gauemannii;Encyonema gaeumannii;Encyonema gaeumannii
Encyonema gauemannii;Encyonema gaeumannii;Encyonema gaeumannii
Encyonema gauemannii;Encyonema gaeumannii;Encyonema gaeumannii
Encyonema gauemannii;Encyonema gracile;Encyonema gracile
Encyonema gracile;Encyonema gracile;Encyonema gracile
Cymbella gracilis;Encyonema gracile;Encyonema gracile
Cymbella gracilis;Encyonema gracile;Encyonema gracile
Cymbella gracilis;Encyonema gracile;Encyonema gracile
Cymbella gracilis;Encyonema gracile;Encyonema gracile
Encyonema gracile;Encyonema gracile;Encyonema gracile
Encyonema gracile;Encyonema gracile;Encyonema gracile
Cymbella gracilis;Encyonema jemtlandicum;Encyonema jemtlandicum
Encyonema jemtlandicum;Encyonema jemtlandicum var venezolanum;Encyonema jemtlandicum var. venezolanum
Encyonema jemtlandicum var venezolanum;Encyonema jemtlandicum var venezolanum;Encyonema jemtlandicum var. venezolanum
Encyonema jemtlandicum var venezolanum;Encyonema jemtlandicum var venezolanum;Encyonema jemtlandicum var. venezolanum
Encyonema jemtlandicum var. venezolanum Krammer;Encyonema lange-bertalotii;Encyonema lange-bertalotii
Encyonema lange-bertalotii Krammer;Encyonema latens;Encyonema latens
Encyonema minuta f. latens;Encyonema lunatum;Encyonema lunatum
Encyonema minuta var. pseudogracilis (Choln.)Reim.;Encyonema minuta var pseudogracilis;Encyonema minuta var. pseudogracilis
Encyononema minutiforme;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutiforme;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutiforme;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutiforme;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutiforme;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutiforme Krammer;Encyonema minutiforme;Encyonema minutiforme
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Cymbella minuta;Encyonema minutum;Encyonema minutum
Encyononema minuta;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Cymbella minuta;Encyonema minutum;Encyonema minutum
Cymbella minuta;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema  minutum Hilse ex Rabh ;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum (Hilse) Mann;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum;Encyonema minutum;Encyonema minutum
Encyonema minutum (Hilse) Mann;Encyonema minutum;Encyonema minutum
Encyonema minuta;Encyonema minutum;Encyonema minutum
Encyonema minuta;Encyonema minutum;Encyonema minutum
Cymbella minuta;Encyonema minutum;Encyonema minutum
Encyonema muelleri ;Encyonema muelleri;Encyonema muelleri
Encyonema muelleri (Hust.) Mann in Round;Encyonema muelleri;Encyonema muelleri
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyononema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile;Encyonema neogracile;Encyonema neogracile
Encyonema neogracile Krammer;Encyonema neogracile;Encyonema neogracile
Encyonema neomesianum;Encyonema neomesianum;Encyonema neomesianum
Encyonema neomesianum;Encyonema neomesianum;Encyonema neomesianum
Cymbella norvegica Grun. var. norvegica;Encyonema norvegicum;Encyonema norvegicum
Cymbella  paradoxum (Ktz.) Patr. var. paradoxum;Encyonema paradoxum;Encyonema paradoxum
Encyonema perminutum;Encyonema perminutum;Encyonema perminutum
Encyonema perpusillum;Encyonema perpusillum;Encyonema perpusillum
Encyonema perpusillum;Encyonema perpusillum;Encyonema perpusillum
Encyonema  perpusilla (A. Cl.) Mann;Encyonema perpusillum;Encyonema perpusillum
Encyonema ponteanum;Encyonema ponteanum;Encyonema ponteanum
Encyonema  prostrata (Berk.) Cl. var. prostrata;Encyonema prostratum var prostata;Encyonema prostratum var. prostata
Encyonema rumrichae;Encyonema rumrichae;Encyonema rumrichae
Encyonema schneideri;Encyonema schneideri;Encyonema schneideri
Encyonema schneideri;Encyonema schneideri;Encyonema schneideri
Encyonema schneideri Krammer;Encyonema schneideri;Encyonema schneideri
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum ;Encyonema silesiacum;Encyonema silesiacum
Cymbella silesiaca;Encyonema silesiacum;Encyonema silesiacum
Cymbella silesiaca;Encyonema silesiacum;Encyonema silesiacum
Cymbella silesiaca;Encyonema silesiacum;Encyonema silesiacum
Cymbella silesicaca;Encyonema silesiacum;Encyonema silesiacum
Dcymbella silesiaca;Encyonema silesiacum;Encyonema silesiacum
Encyononema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema minuta var. silesiaca (Blch. ex Rabh.) Reim.;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum (Bleisch) D. G. Mann   ;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum (Bleisch) Mann;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum (Bleisch) Mann;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiaca;Encyonema silesiacum;Encyonema silesiacum
Encyonema silesiacum var chilensis;Encyonema silesiacum var chilensis;Encyonema silesiacum var. chilensis
Encyonema sp. 1 SORATA;Encyonema sp. 1 SORATA;Encyonema sp. 1 SORATA
Encyonema sp.;Encyonema sp.1;Encyonema sp.1
Encyonema sp. 1 COROICO;Encyonema sp.1 COROICO;Encyonema sp.1 COROICO
Encyonema sp. 1 COROICO;Encyonema sp.1 COROICO;Encyonema sp.1 COROICO
Encyonema sp.1 LAGUNA BLANCA;Encyonema sp.1 LAGUNA BLANCA;Encyonema sp.1 LAGUNA BLANCA
Encyonema sp.1 LLAVIUCU;Encyonema sp.1 LLAVIUCU;Encyonema sp.1 LLAVIUCU
Encyonema sp.1 LLAVIUCU;Encyonema sp.1 LLAVIUCU;Encyonema sp.1 LLAVIUCU
Encyonema sp.1 MISKI;Encyonema sp.1 MISKI;Encyonema sp.1 MISKI
Encyonema sp.1;Encyonema sp.2;Encyonema sp.2
Encyonema sp ;Encyonema spp.;Encyonema spp.
Encyononema spp;Encyonema spp.;Encyonema spp.
Encyonema spp;Encyonema spp.;Encyonema spp.
Encyonema subminutum Krammer et Lange-Bertalot;Encyonema subminutum;Encyonema subminutum
Encyonema tenuissima (Hust.) Mann;Encyonema tenuissimum;Encyonema tenuissimum
Encyonema tenuissimum;Encyonema tenuissimum;Encyonema tenuissimum
Encyonema triangulum;Encyonema triangulum;Encyonema triangulum
