collection;species_original;genera_harmonised;species_harmonised
Ecuador-Kannan;Hannaea  sp. 1;Hannea;Hannaea sp.1
Ecuador-Kannan;Hantzschia  abundans Lange-Bertalot;Hantzschia;Hantzschia abundans
Ecuador-Kannan;Hantzschia amphyioxys;Hantzschia;Hantzschia amphioxys
Ecuador-Kannan;Hantzschia amphyioxys (Ehr.) Grun. var 1 (50um, 5um, 11 striae  & 7 Kp/10um);Hantzschia;Hantzschia amphioxys
Ecuador-Kannan;Hantzschia amphioxys (Ehr.) Grun. var. aequalis A. Cl.;Hantzschia;Hantzschia amphioxys var aequalis
Ecuador-Kannan;Hantzschia  elongata (Hant.) Grun. var. elongata;Hantzschia;Hantzschia elongata
Ecuador-Kannan;Hantzschia pseudomarina Hust. var. pseudomarina;Hantzschia;Hantzschia pseudomarina
Ecuador-Kannan;Hantzschia amphioxys (Ehr.) Grun. var. robusta (O. M.);Hantzschia;Hantzschia robusta
Ecuador-Kannan;Hantzschia sp. 1 (30Êm, 3Êm, indistinct striae, 6kp/10Êm);Hantzschia;Hantzschia sp.1
Ecuador-Kannan;Hantzschia sp. 1;Hantzschia;Hantzschia sp.1 GALAPAGOS
Ecuador-Kannan;Hantzschia  vivacior Lange-Bertalot ;Hantzschia;Hantzschia vivacior
Ecuador-Kannan;Diadesmis  contenta  Grun.f. parallela (Ptrsn.)  Hustedt.;Humidophila;Humidophila contenta
Ecuador-Kannan;Navicula  capitata var. hungarica (Grun.) Ross;Hungarica;Hungarica capitata
Ecuador-Kannan;Surirella cuspidata;Iconella;Iconella cuspidata
Ecuador-Kannan;Achnanthes laterotrata;Karayevia;Karayeviaˇlaterostrata
Ecuador-Kannan;Navicula  subtilissima Cl. var. subtilissima;Kobayasiella;Kobayasiella subtilissima
Ecuador-Kannan;Lampriscus kittonii;Lampriscus;Lampriscus kittonii
Ecuador-Kannan;Achnanthes hungarica (Grun.) Grun. var. hungarica;Lemnicola;Lemnicola hungarica
Ecuador-Kannan;Licmophora sp.1 ;Licmophora;Licmophora sp.1 GALAPAGOS
Ecuador-Kannan;Navicula  cohnii (Hilse) Lange-Bertalot 1985;Luticola;Luticola cohnii
Ecuador-Kannan;Luticola dapalis (Fren.) Mann var. dapalis;Luticola;Luticola dapalis
Ecuador-Kannan;Navicula goeppertiana (Hustedt) Mann in Round;Luticola;Luticola goeppertiana
Ecuador-Kannan;Navicula lagerheimii var. intermedia Hust.;Luticola;Luticola intermedia
Ecuador-Kannan;Luticola mutica (KÅtz.) Mann var. mutica Pat. &Reimer;Luticola;Luticola mutica
Ecuador-Kannan;Luticola  mutica var. intermedia (Hust.) Round, Mann & Crawford;Luticola;Luticola mutica f intermedia
Ecuador-Kannan;Luticola  mutica var. undulata (Hilse) Grun. ;Luticola;Luticola mutica var undulata
Ecuador-Kannan;Luticola  muticoides (Hust.) Mann var. muticoides;Luticola;Luticola muticoides
Ecuador-Kannan;Luticola  sp. 1;Luticola;Luticola sp.1
Ecuador-Kannan;Luticola mutica var. stigma(Patr.)Round in Mann ;Luticola;Luticola stigma
Ecuador-Kannan;Fragilaria martyii (Heriband) Lange-Bertalot;Martiana;Martiana martyii
Ecuador-Kannan;Mastogloia braunii;Mastogloia;Mastogloia braunii
Ecuador-Kannan;Mastogloia braunii forma elongata;Mastogloia;Mastogloia braunii f elongata
Ecuador-Kannan;Mastogloia decussata;Mastogloia;Mastogloia decussata
Ecuador-Kannan;Mastogloia drouetiana;Mastogloia;Mastogloia drouetiana
Ecuador-Kannan;Mastogloia  elliptica var. danseii (Thw.) Cl.;Mastogloia;Mastogloia elliptica var danseii
Ecuador-Kannan;Mastogloia exigua;Mastogloia;Mastogloia exigua
Ecuador-Kannan;Mastogloia  grevillei W. Sm. var. grevillei;Mastogloia;Mastogloia grevillei
Ecuador-Kannan;Mastogloia habansis;Mastogloia;Mastogloia habansis
Ecuador-Kannan;Mastogloia labuensis;Mastogloia;Mastogloia habansis
Ecuador-Kannan;Mastogloia  smithii var. lacustris Grun.;Mastogloia;Mastogloia lacustris
Ecuador-Kannan;Mastogloia lanceolata;Mastogloia;Mastogloia lanceolata
Ecuador-Kannan;Mastogloia pusilla;Mastogloia;Mastogloia pusilla
Ecuador-Kannan;Mastogloia  smithii Thw. ex W. Sm. var. smithii;Mastogloia;Mastogloia smithii
Ecuador-Kannan;Mastogloia sp.1 ;Mastogloia;Mastogloia sp. 1 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.2 ;Mastogloia;Mastogloia sp. 2 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.3 ;Mastogloia;Mastogloia sp. 3 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.4 ;Mastogloia;Mastogloia sp. 4 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.5 ;Mastogloia;Mastogloia sp. 5 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.6 ;Mastogloia;Mastogloia sp. 6 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.7 ;Mastogloia;Mastogloia sp. 7 GALAPAGOS
Ecuador-Kannan;Mastogloia sp.8 ;Mastogloia;Mastogloia sp. 8 GALAPAGOS
Ecuador-Kannan;Melosira  dickiei (Thw.) KÅtz. var. dickiei ;Melosira;Melosira dickiei
Ecuador-Kannan;Melosira  fennoscandia (A. Clev-Euler) R. Ross var. feenoscandia;Melosira;Melosira fennoscandica 
Ecuador-Kannan;Melosira  madagascariensis A. S. var. madagascariensis;Melosira;Melosira madagascariensis
Ecuador-Kannan;Melosira  varians Ag. var. varians;Melosira;Melosira varians
Ecuador-Kannan;Navicula gibbula Cl. var. gibbula;Muelleria;Muelleria gibbula
Ecuador-Kannan;Navicula  expansa Hagel. var. expansa;Navicula;Navicula  expansa
Ecuador-Kannan;Navicula  gottlandica Grun. var. gottlandica;Navicula ;Navicula  gottlandica
Ecuador-Kannan;Navicula  amphibola Cl. var. amphibola;Navicula;Navicula amphibola
Ecuador-Kannan;Navicula anglica var. subsalsa (Grun.) Cl.;Navicula ;Navicula anglica var subsalsa
Ecuador-Kannan;Navicula  angusta Grun. var. angusta;Navicula;Navicula angusta
Ecuador-Kannan;Navicula angustata;Navicula;Navicula angusta
Ecuador-Kannan;Navicula angustura Grun. var angusta;Navicula;Navicula angusta
Ecuador-Kannan;Navicula  arvensis Hust. var. arvensis;Navicula;Navicula arvensis
Ecuador-Kannan;Navicula  bicephala Hust. var. bicephala   ;Navicula;Navicula bicephala
Ecuador-Kannan;Navicula  canalis Patr. var. canalis;Navicula;Navicula canalis
Ecuador-Kannan;Navicula  capitatoradiata (Germain);Navicula;Navicula capitatoradiata
Ecuador-Kannan;Navicula salinarum var. Intermedia;Navicula ;Navicula capitatoradiata
Ecuador-Kannan;Navicula salinarum var. intermedia (Grun.) Cl.;Navicula;Navicula capitatoradiata
Ecuador-Kannan;Navicula  graciloides Mayer var. graciloides;Navicula;Navicula cari
Ecuador-Kannan;Navicula cari ;Navicula;Navicula cari
Ecuador-Kannan;Navicula cascadensis Sov. var. cascadensis;Navicula;Navicula cascadensis
Ecuador-Kannan;Navicula cincta;Navicula;Navicula cincta
Ecuador-Kannan;Navicula  cincta var. rostrata Reim.;Navicula;Navicula cincta var rostrata
Ecuador-Kannan;Navicula concamerata;Navicula;Navicula concamerata
Ecuador-Kannan;Navicula crateri;Navicula;Navicula crateri
Ecuador-Kannan;Navicula  cryptocephala (KÅtzing) var. cryptocephala;Navicula;Navicula cryptocephala
Ecuador-Kannan;Navicula cryptocephaloides;Navicula;Navicula cryptocephaloides
Ecuador-Kannan;Navicula cryptotenella;Navicula;Navicula cryptotenella
Ecuador-Kannan;Navicula cryptotenella Lange-Bertalot;Navicula;Navicula cryptotenella
Ecuador-Kannan;Navicula  schroeteri var. escambia Patr.;Navicula;Navicula escambia
Ecuador-Kannan;Navicula  exigua var. 1 (13Êm, 8Êm, 8 striae/10Êm);Navicula;Navicula exigua var 1
Ecuador-Kannan;Navicula  exigua var. capitata Patr.;Navicula;Navicula exigua var capitata
Ecuador-Kannan;Navicula formenterae;Navicula;Navicula formenterae
Ecuador-Kannan;Navicula  globulifera Hust. var. globulifera;Navicula ;Navicula globulifera
Ecuador-Kannan;Navicula  gondwana Lange-Bertalot;Navicula ;Navicula gondwana
Ecuador-Kannan;Navicula gondwana;Navicula;Navicula gondwana
Ecuador-Kannan;Navicula gracilis ;Navicula;Navicula gracilis 
Ecuador-Kannan;Navicula  gysingensis Foged var. gysingensis;Navicula;Navicula gysingensis
Ecuador-Kannan;Navicula  hambergii Hust. var. hambergii;Navicula;Navicula hambergii
Ecuador-Kannan;Navicula  hambergii Hust. var. 1 (32Êm, 11Êm, 10 striae/10Êm);Navicula;Navicula hambergii var 1
Ecuador-Kannan;Navicula heufleri var. leptocephala (Brun. ex Grun.) H.Per.;Navicula;Navicula heufleri var leptocephala
Ecuador-Kannan;Navicula  ilopangoensis Hust. var. ilopangoensis;Navicula;Navicula ilopangoensis
Ecuador-Kannan;Navicula  notha Wllc. var. notha;Navicula;Navicula notha
Ecuador-Kannan;Navicula  odiosa Wllc. var. odiosa;Navicula;Navicula odiosa
Ecuador-Kannan;Navicula  paucivisitata Patr. var. paucivisitata;Navicula;Navicula paucivisitata
Ecuador-Kannan;Navicula  perobesa Hust. var. perobesa;Navicula;Navicula perobesa
Ecuador-Kannan;Navicula  pseudocari Kras. var. pseudocari;Navicula;Navicula pseudocari
Ecuador-Kannan;Navicula  pseudofrickia Patr. var. pseudofrickia;Navicula;Navicula pseudofrickia
Ecuador-Kannan;Navicula  pseudolanceolata Lange-Bertalot;Navicula;Navicula pseudolanceolata
Ecuador-Kannan;Navicula  pseudoreinhardtii Patr. var. pseudoreinhardtii;Navicula;Navicula pseudoreinhardtii 
Ecuador-Kannan;Navicula  radiosafallax Lange-Bertalot;Navicula;Navicula radiosafallax
Ecuador-Kannan;Navicula  rhynchocephela KÅtz. var. rhynchocephela ;Navicula;Navicula rhynchocephela
Ecuador-Kannan;Navicula rhynchocephela var. amphiceros (Kutz.) Grun.;Navicula ;Navicula rhynchocephela var amphiceros
Ecuador-Kannan;Navicula rhynchotella;Navicula ;Navicula rhynchotella
Ecuador-Kannan;Navicula  salinarum var. 1 (30.5Êm, 8.8Êm, 12 striae/10Êm);Navicula;Navicula salinarum var 1
Ecuador-Kannan;Navicula schroeteri var. 1 (28-30Êm, 7.5Êm, 11 striae/10Êm);Navicula;Navicula schroeteri 
Ecuador-Kannan;Navicula  seibigiana Lange-Bertalot (12Êm, 5Êm, 12 striae/10Êm);Navicula;Navicula seibigiana
Ecuador-Kannan;Navicula  seminuloides Hust. var. seminuloides;Navicula;Navicula seminuloides
Ecuador-Kannan;Navicula seminulum var. hustedtii Patr.;Navicula;Navicula seminulum var hustedtii
Ecuador-Kannan;Navicula sp. 1 (N. spuria Cl.?);Navicula;Navicula sp. 1
Ecuador-Kannan;Navicula sp. 1;Navicula;Navicula sp. 1 GALAPAGOS
Ecuador-Kannan;Navicula sp.  10 (5umX1um);Navicula;Navicula sp. 10
Ecuador-Kannan;Navicula  sp.  11 (12umX5um, 12 stria/10um);Navicula;Navicula sp. 11
Ecuador-Kannan;Navicula sp.  12;Navicula;Navicula sp. 12
Ecuador-Kannan;Navicula  sp. 2 (27um,6.4um,30 striae/10um);Navicula;Navicula sp. 2
Ecuador-Kannan;Navicula sp. 2;Navicula;Navicula sp. 2 GALAPAGOS
Ecuador-Kannan;Navicula sp. 3 (25Êm, 5Êm, 16 striae/10Êm);Navicula;Navicula sp. 3
Ecuador-Kannan;Navicula sp. 4 (15Êm, 3Êm, indistinct striae);Navicula;Navicula sp. 4
Ecuador-Kannan;Navicula sp. 4;Navicula;Navicula sp. 4 GALAPAGOS
Ecuador-Kannan;Navicula  sp. 5 (26Êm, 6Êm, 10-12 striae/10Êm);Navicula;Navicula sp. 5
Ecuador-Kannan;Navicula  sp. 6 (42Êm, 14Êm, 8 striae/10Êm);Navicula;Navicula sp. 6
Ecuador-Kannan;Navicula sp. 6;Navicula;Navicula sp. 6 GALAPAGOS
Ecuador-Kannan;Navicula  sp. 7 (41Êm, 9Êm, 13 striae/10Êm);Navicula;Navicula sp. 7
Ecuador-Kannan;Navicula sp. 7;Navicula;Navicula sp. 7 GALAPAGOS
Ecuador-Kannan;Navicula  sp. 8 (25Êm, 8.5Êm, 16 striae/10Êm);Navicula;Navicula sp. 8
Ecuador-Kannan;Navicula sp. 8;Navicula;Navicula sp. 8 GALAPAGOS
Ecuador-Kannan;Navicula  sp. 9 (30Êm, 9.5Êm, 8 striae/10Êm);Navicula;Navicula sp. 9
Ecuador-Kannan;Navicula sp.3;Navicula;Navicula sp.3 GALAPAGOS
Ecuador-Kannan;Navicula so. 5;Navicula;Navicula sp.5 GALAPAGOS
Ecuador-Kannan;Navicula  subrhynchocephala Hust. var. subrhynchocephala;Navicula;Navicula subrhynchocephala
Ecuador-Kannan;Navicula tagiana;Navicula;Navicula tagiana
Ecuador-Kannan;Navicula  tripunctata var. schizonemoides (V. H.) Patr.;Navicula;Navicula tripunctata var schizonemoides
Ecuador-Kannan;Navicula valida;Navicula;Navicula valida
Ecuador-Kannan;Navicula  viridula (KÅtz.). emend. V. H. var. viridula;Navicula;Navicula viridula
Ecuador-Kannan;Navicula viridula;Navicula;Navicula viridula
Ecuador-Kannan;Navicula viridula ;Navicula;Navicula viridula
Ecuador-Kannan;Navicula  viridula var. 1 (35Êm, 11Êm, 9 striae/10Êm);Navicula;Navicula viridula var 1
Ecuador-Kannan;Navicula viridula var. avenacea (Breb. ex Grun.) V. H.;Navicula;Navicula viridula var avenacea
Ecuador-Kannan;Navicula  viridula var. linearis Hust.;Navicula;Navicula viridula var linearis
Ecuador-Kannan;Navicula  vulpina KÅtz. var. vulpina;Navicula;Navicula vulpina
Ecuador-Kannan;Cymbella  pusilla Grun. var. pusilla;Navicymbula;Navicymbula pusilla
Ecuador-Kannan;Cymbella pusilla ;Navicymbula;Navicymbula pusilla
Ecuador-Kannan;Neidium  affine (Ehr.) Pfitz. var. affine;Neidium;Neidium affine
Ecuador-Kannan;Neidium  affine var. amphirhynchus (Ehr.) Cl.;Neidium;Neidium affine var amphirhynchus
Ecuador-Kannan;Neidium  affine var. humerus Reim.;Neidium;Neidium affine var humerus
Ecuador-Kannan;Neidium  affine var. 1 (40Êm, 12-13Êm, 22-24 striae/10Êm);Neidium;Neidium affine var1
Ecuador-Kannan;Neidium  amphigomphus Ehr. var. amphigomphus;Neidium;Neidium amphigomphus
Ecuador-Kannan;Neidium  ampliatum(Ehr.)Krammer;Neidium;Neidium ampliatum
Ecuador-Kannan;Neidium  bisulcatum (Lar.) Cl. var. bisulcatum;Neidium;Neidium bisulcatum
Ecuador-Kannan;Neidium  bisulcatum var. baicalense (S. & M.) Reim  ;Neidium;Neidium bisulcatum var baicalense
Ecuador-Kannan;Neidium  floridanum Reim. var. floridanum;Neidium;Neidium floridanum
Ecuador-Kannan;Neidium  hercynicum var. hercynicum f. subrostratum Wllc.;Neidium;Neidium hercynicum f subrostratum
Ecuador-Kannan;Neidium  iridis (Ehr.) Cl. var. iridis;Neidium;Neidium iridis
Ecuador-Kannan;Neidium  iridis var. amphigomphus (Ehr.) Mayer;Neidium;Neidium iridis var amphigomphus 
Ecuador-Kannan;Neidium iridis var. Amphigomphus;Neidium;Neidium iridis var amphigomphus 
Ecuador-Kannan;Neidium  maximum (Cl.) Meist. var. 1 (160Êm, 30Êm, 16 striae/10Êm);Neidium;Neidium maximum
Ecuador-Kannan;Neidium  oblique striata A. S. var. oblique striata;Neidium;Neidium oblique
Ecuador-Kannan;Neidium  productum (W. Sm.) Cl. var. productum;Neidium;Neidium productum
Ecuador-Kannan;Neidium sacoense Reim. var. sacoense;Neidium;Neidium sacoense
Ecuador-Kannan;Neidium sp. 1;Neidium;Neidium sp.1
Ecuador-Kannan;Nitzschia  acicularis(Kutz.)W.Smith;Nitzschia;Nitzschia acicularis
Ecuador-Kannan;Nitzschia  acuta (Van Heurck) var. acuta;Nitzschia;Nitzschia acuta
Ecuador-Kannan;Nizschia acuta;Nitzschia;Nitzschia acuta
Ecuador-Kannan;Nitzschia  amphibia Grun. var. amphibia;Nitzschia;Nitzschia amphibia 
Ecuador-Kannan;Nitzschia amphibia;Nitzschia;Nitzschia amphibia 
Ecuador-Kannan;Nitzschia amphibia;Nitzschia;Nitzschia amphibia 
Ecuador-Kannan;Nitzschia  angustata var. acuta Grun.;Nitzschia;Nitzschia angustata var acuta
Ecuador-Kannan;Nitzschia  angustata var. producta Pant.;Nitzschia;Nitzschia angustata var producta
Ecuador-Kannan;Nitzschia beagleana ;Nitzschia;Nitzschia beagleana 
Ecuador-Kannan;Nitzschia capitellata Hust. var. capitellata;Nitzschia;Nitzschia capitellata
Ecuador-Kannan;Nitzschia  clausii Hant. var. clausii   ;Nitzschia;Nitzschia clausii
Ecuador-Kannan;Nitzschia  communis Rabh. var. communis;Nitzschia;Nitzschia communis
Ecuador-Kannan;Nitzschia communis var. Hyalina;Nitzschia;Nitzschia communis var. hyalina
Ecuador-Kannan;Nitzschia commutata;Nitzschia;Nitzschia commutata
Ecuador-Kannan;Nitzschia commutata Grun. var. commutata;Nitzschia;Nitzschia commutata
Ecuador-Kannan;Nitzschia confinis;Nitzschia;Nitzschia confinis
Ecuador-Kannan;Nitzschia confinis var. Maxima;Nitzschia;Nitzschia confinis var maxima
Ecuador-Kannan;Nitzschia dissipata (KÅtz.) Grun. var. dissipata;Nitzschia;Nitzschia dissipata
Ecuador-Kannan;Nitzschia dissipata var. dissipata f. maewensis Foged;Nitzschia;Nitzschia dissipata var dissipata f. maewensis
Ecuador-Kannan;Nitzschia   draveillensis (20m x 2m) Coste & Richard 1980;Nitzschia;Nitzschia draveillensis
Ecuador-Kannan;Nitzschia  draveillensis Lange-Bertalot;Nitzschia;Nitzschia draveillensis
Ecuador-Kannan;Nitzschia dubia W. Sm. var. dubia;Nitzschia;Nitzschia dubia
Ecuador-Kannan;Nizschia eliptica;Nitzschia;Nitzschia elliptica
Ecuador-Kannan;Nitzschia fasciculata;Nitzschia;Nitzschia fasciculata
Ecuador-Kannan;Nitzschia  fasciculata Grun. var. fasciculata;Nitzschia;Nitzschia fasciculata 
Ecuador-Kannan;Nitzschia fonticola;Nitzschia;Nitzschia fonticola
Ecuador-Kannan;Nitzschia fonticola Grun. var. fonticola;Nitzschia;Nitzschia fonticola
Ecuador-Kannan;Nitzschia frustulum var perpusilla;Nitzschia;Nitzschia frustulum
Ecuador-Kannan;Nitzschia  frustulum var. subsalina Hust.  ;Nitzschia;Nitzschia frustulum var subsalina
Ecuador-Kannan;Nitzschia gracilis;Nitzschia;Nitzschia gracilis
Ecuador-Kannan;Nitzschia gracilis Hant. var. gracilis;Nitzschia;Nitzschia gracilis
Ecuador-Kannan;Nitzschia  holsatica Hust. var. holsatica;Nitzschia;Nitzschia holsatica 
Ecuador-Kannan;Nitzschia homburgiensis Lange-Bertalot ;Nitzschia;Nitzschia homburgiensis
Ecuador-Kannan;Nitzschia  kutzingiana Hilse var. kutzingiana;Nitzschia;Nitzschia kutzingiana
Ecuador-Kannan;Nitzschia  lacunarum Hust. var. lacunarum;Nitzschia;Nitzschia lacunarum
Ecuador-Kannan;Nitzschia  lanceolata W. Sm. var. lanceolata;Nitzschia;Nitzschia lanceolata
Ecuador-Kannan;Nitzschia  latestriata (Ostr.) A. Clev. var. latestriata;Nitzschia;Nitzschia latestriata
Ecuador-Kannan;Nitzschia  linearis W. Sm. var. linearis;Nitzschia;Nitzschia linearis
Ecuador-Kannan;Nitzschia lorenziana Grun. var. subtilis Hustd.;Nitzschia;Nitzschia lorenziana var subtilis
Ecuador-Kannan;Nitzschia  microcephala Grun. var. microcephala ;Nitzschia;Nitzschia microcephala
Ecuador-Kannan;Nitzschia microcephala;Nitzschia;Nitzschia microcephala
Ecuador-Kannan;Nitzschia obsidialis Hust. var. obsidialis;Nitzschia;Nitzschia obsidialis
Ecuador-Kannan;Nitzschia obtusa;Nitzschia;Nitzschia obtusa
Ecuador-Kannan;Nitzschia  ovalis var. ovalis Arnott in Clev. et Grunow;Nitzschia;Nitzschia ovalis
Ecuador-Kannan;Nitzschia palea;Nitzschia;Nitzschia palea
Ecuador-Kannan;Nitzschia palea (KÅtz.) W. Sm. var. palea;Nitzschia;Nitzschia palea
Ecuador-Kannan;Nitzschia  paleacea Grun. var. paleacea;Nitzschia;Nitzschia paleacea
Ecuador-Kannan;Nitzschia paleacea;Nitzschia;Nitzschia paleacea
Ecuador-Kannan;Nitzschia parvula Levis var. parvula;Nitzschia;Nitzschia parvula
Ecuador-Kannan;Nitzschia  frustulum var. perminuta Grun.;Nitzschia;Nitzschia perminuta
Ecuador-Kannan;Nitzschia  frustulum var. perpusilla (Rabh.) Grun.;Nitzschia;Nitzschia perpusilla
Ecuador-Kannan;Nitzschia  recta Hant. var. recta   ;Nitzschia;Nitzschia recta
Ecuador-Kannan;Nitzschia  vitrea var. recta V. H.;Nitzschia;Nitzschia recta
Ecuador-Kannan;Nitzschia recta;Nitzschia;Nitzschia recta
Ecuador-Kannan;Nitzschia vitrea var. Recta;Nitzschia;Nitzschia recta
Ecuador-Kannan;Nitzschia sigma;Nitzschia;Nitzschia sigma
Ecuador-Kannan;Nitzschia sigmoidea (Ehr.) W. Sm. var. sigmoidea;Nitzschia;Nitzschia sigmoidea
Ecuador-Kannan;Nitzschia socialis;Nitzschia;Nitzschia socialis
Ecuador-Kannan;Nitzschia socialis var. kariana Grun.;Nitzschia;Nitzschia socialis
Ecuador-Kannan;Nitzschia sp. 2;Nitzschia;Nitzschia sp. 2 GALAPAGOS
Ecuador-Kannan;Nitzschia sp. 1 (54Êm, 1.2Êm, indistinct striae, 10-11kp/10Êm);Nitzschia;Nitzschia sp.1
Ecuador-Kannan;Nitzschia sp. 1;Nitzschia;Nitzschia sp.1 GALAPAGOS
Ecuador-Kannan;Nitzschia  sp. 2 (30Êm, 3.5Êm, indistinct striae, 6kp/10Êm);Nitzschia;Nitzschia sp.2
Ecuador-Kannan;Nitzschia  sp. 3 (35Êm, 6Êm, 8kp/10Êm);Nitzschia;Nitzschia sp.3
Ecuador-Kannan;Nitzschia sp 3;Nitzschia;Nitzschia sp.3 GALAPAGOS
Ecuador-Kannan;Nitzschia sp. 4 (112.5Êm, 7.8-8Êm, indistinct striae,7kp/10Êm);Nitzschia;Nitzschia sp.4
Ecuador-Kannan;Nitzschia sp 4;Nitzschia;Nitzschia sp.4 GALAPAGOS
Ecuador-Kannan;Nitzschia  sp. 5 (20Êm, 3-4Êm, indistinct striae, 13kp/10Êm);Nitzschia;Nitzschia sp.5
Ecuador-Kannan;Nitzschia sp. 6 (38 mm, 4 mm 16 striae & 6 kp/10 mm)  ;Nitzschia;Nitzschia sp.6
Ecuador-Kannan;Nitzschia sp. 7(29Êm, 3Êm, 14 striae/10Êm);Nitzschia;Nitzschia sp.7
Ecuador-Kannan;Nitzschia sp. 8;Nitzschia;Nitzschia sp.8
Ecuador-Kannan;Nitzschia stagnorum Rabh. var. stagnorum;Nitzschia;Nitzschia stagnorum
Ecuador-Kannan;Nitzschia subcommunis;Nitzschia;Nitzschia subcommunis
Ecuador-Kannan;Nitzschia sublinearis;Nitzschia;Nitzschia sublinearis
Ecuador-Kannan;Nitzschia sublinearis var. sublinearis W. Sm. Hustedt;Nitzschia;Nitzschia sublinearis
Ecuador-Kannan;Nitzschia subtilis KÅtz. var. subtilis   ;Nitzschia;Nitzschia subtilis
Ecuador-Kannan;Nitzschia thermalis var. intermedia Grun.;Nitzschia;Nitzschia thermalis var intermedia
Ecuador-Kannan;Biddulphia aurita ;Odontella;Odontella aurita
Ecuador-Kannan;Diatoma  hiemale var. mesodon (Ehr.) Grun.;Odonthium;Odontidium hyemale
Ecuador-Kannan;Opephora sp. 1 (25Êm, 10Êm, 7-9 striae/10Êm);Opephora;Opephora spp
Ecuador-Kannan;Aulacoseira dendroteres  (Ehr.) Craw. var. dendroteres;Orthoseira;Orthoseira dendroteres
Ecuador-Kannan;Orthoseira  roseana (Rabenhousst) O?Meara ;Orthoseira;Orthoseira roseana
Ecuador-Kannan;Orthoseira  roseana (Rabenhorst.) var. spiralis Grun.;Orthoseira;Orthoseira roseana var spiralis
Ecuador-Kannan;Navicula  crucicula (W. Sm.) Donk. var. crucicula;Parlibellus;Parlibellus crucicula
Ecuador-Kannan;Navicula protracta Grun. var. protracta;Parlibellus;Parlibellus protractus
Ecuador-Kannan;Peronia  intermedium (H. Sm.) Patr. var. intermedium;Peronia;Peronia intermedium
Ecuador-Kannan;Petroneis  latissima (Greg.) Stickle & Mann ;Petroneis;Petroneis latissima
Ecuador-Kannan;Pinnularia aabaujensis (Pant.)Ross var abaujensis;Pinnularia;Pinnularia abaujensis
Ecuador-Kannan;Pinnularia abaujensis var. Linearis;Pinnularia;Pinnularia abaujensis var linearis
Ecuador-Kannan;Pinnularia abaujensis var. linearis (Hust.) Patr. ;Pinnularia;Pinnularia abaujensis var linearis
Ecuador-Kannan;Pinnularia abaujensis var. rostrata (Patr.) Patr.;Pinnularia;Pinnularia abaujensis var rostrata
Ecuador-Kannan;Pinnularia  abaujensis var. subundulata (Mayer ex Hust.)Patr.;Pinnularia;Pinnularia abaujensis var subundulata
Ecuador-Kannan;Pinnularia  acrosphaeria W. Sm. var. acrosphaeria;Pinnularia;Pinnularia acrosphaeria
Ecuador-Kannan;Pinnularia acrosphaeria var. americana H. Per.;Pinnularia;Pinnularia acrosphaeria var americana
Ecuador-Kannan;Pinnularia  acrosphaeria W. Smith var. ecuatoriana ;Pinnularia;Pinnularia acrosphaeria var ecuatoriana 
Ecuador-Kannan;Pinnularia acuminata W. Smith var. acuminata;Pinnularia;Pinnularia acuminata
Ecuador-Kannan;Pinnularia acuminata var. bielawskii (Ehr. & H. Per.) Patr.;Pinnularia;Pinnularia acuminata var bielawskii
Ecuador-Kannan;Pinnularia  acuminata var. cuyabenensis DeO.;Pinnularia;Pinnularia acuminata var cuyabenensis
Ecuador-Kannan;Pinnularia  acuminata var. instabilis f. cuyabenensis DeO.;Pinnularia;Pinnularia acuminata var instabilis f. cuyabenensis
Ecuador-Kannan;Pinnularia acuminata var. interrupta (Cl.) Patr.;Pinnularia;Pinnularia acuminata var interrupta
Ecuador-Kannan;Pinnularia  acuminata var. stenitzii DeO.;Pinnularia;Pinnularia acuminata var stenitzii
Ecuador-Kannan;Pinnularia acuminata var. Stenitzii;Pinnularia;Pinnularia acuminata var. stenitzii
Ecuador-Kannan;Pinnularia  alpina W. Sm. var. alpina;Pinnularia;Pinnularia alpina
Ecuador-Kannan;Pinnularia appendiculata (Ag.) Cl. var. appendiculata;Pinnularia;Pinnularia appendiculata
Ecuador-Kannan;Pinnularia  asanzii DeO. var. asanzii;Pinnularia;Pinnularia asanzii
Ecuador-Kannan;Pinnularia  biceps fo patersenii A. G. C.;Pinnularia;Pinnularia biceps
Ecuador-Kannan;Pinnularia biceps;Pinnularia;Pinnularia biceps
Ecuador-Kannan;Pinnularia biceps Greg. var. biceps;Pinnularia;Pinnularia biceps
Ecuador-Kannan;Pinnularia biceps Greg. var. 1;Pinnularia;Pinnularia biceps var 1 GALAPAGOS
Ecuador-Kannan;Pinnularia  borealis Ehr. var. borealis;Pinnularia;Pinnularia borealis
Ecuador-Kannan;Pinnularia borealis var. rectangularis Carl.;Pinnularia;Pinnularia borealis var rectangularis
Ecuador-Kannan;Pinnularia  boyerii Patr. var. boyerii;Pinnularia;Pinnularia boyeri
Ecuador-Kannan;Pinnularia  brauniana (Grunow ex Schmidt) F. W. Mills;Pinnularia;Pinnularia brauniana
Ecuador-Kannan;Pinnularia brauniana;Pinnularia;Pinnularia brauniana
