id;CollectionName;Country;Collector-Analyst;Year;SiteName;SampleType;Habitat;Substrate;code_original;code;region;Lat DD S;Long DD W;EnvironmentalData (1=yes/2=no);Mud;Slides;Count;Observations
41;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Hedionda;modern;Lake;periphyton;9 VI 01-1          ;Brdb-SA_LagunHednd;Sud Lipez;-21,57;-68,034;1;0;1;0;"Too much diatom density for adequate counting; match with other collections"
42;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Colorada;modern;Lake;mud and algae;9 VI 01-5a;Brdb-SA_LagnClrd1;Desaguadero-SAltiplano;-22,235;-67,746;1;0;1;0;"Too much diatom density for adequate counting; match with other collections"
43;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Colorada;modern;Lake;;9 VI 01-5b;Brdb-SA_LagnClrd2;Desaguadero-SAltiplano;-22,235;-67,746;1;0;1;0;
44;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Chairiri;modern;Lake;;10 VI 01-1;Brdb-SA_LagnChrr;Desaguadero-SAltiplano;-22,528;-67,646;1;0;1;1;COUNTED
45;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Verde;modern;Lake;periphyton;10 VI 01-4;Brdb-SA_Lagunvrd;Desaguadero-SAltiplano;-22,811;-67,774;1;0;1;0;"Too much diatom density for adequate counting; match with other collections"
46;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Desaguadero;modern;Lake;periphyton;17 VI 01-1;Brdb-SA_LgnDsgdr;Desaguadero-SAltiplano;-16,984;-68,786;1;0;1;1;COUNTED
47;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero: Nazacara N.;modern;River;periphyton;17 VI 01-3;Brdb-SA_RDsg:NN.;Desaguadero-SAltiplano;-16,879;-68,797;1;0;1;1;COUNTED
48;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero: downstream from Desaguadero;modern;River;periphyton;17 VI 01-4;Brdb-SA_RDsg:dfD;Desaguadero-SAltiplano;-16,644;-68,968;1;0;1;1;COUNTED
49;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Lago Huiñamarca;modern;Lake;periphyton;17 VI 01-5;Brdb-SA_LagHñmrc;Desaguadero-SAltiplano;-16,564;-68,991;1;0;1;0;Barren diatoms
50;Bush-Guido;Peru;Bush-Valencia;2009;Pacucha;surface sediment;Lake;epipelon;;Bush-Gd_Pacucha;Peru-Andean eastern;-13,616;-73,32;1;1;0;1;Limnological data from Hillyer et al 2009 QR
51;Bush-Guido;Peru;Bush-Valencia;2009;Uspacocha;surface sediment;Lake;epipelon;;Bush-Gd_Uspacoch;Peru-Andean eastern;-13,576;-72,888;0;1;0;0;No mud sample found
52;Bush-Guido;Peru;Bush-Valencia;2009;Huamanmarca;surface sediment;Lake;epipelon;;Bush-Gd_Huamnmrc;Peru-Andean eastern;-13,034;-72,377;0;1;0;1;
53;Bush-Guido;Peru;Bush-Valencia;2009;Miski;surface sediment;Lake;epipelon;;Bush-Gd_Miski;Peru-Andean eastern;-13,023;-72,378;0;1;0;1;
54;Bush-Guido;Peru;Bush-Valencia;2009;Huaypo;surface sediment;Lake;epipelon;;Bush-Gd_Huaypo;Peru-Andean eastern;-13,398;-72,123;1;1;0;0;Barren diatoms
55;Bush-Guido;Peru;Bush-Valencia;2009;Acopia;surface sediment;Lake;epipelon;;Bush-Gd_Acopia;Peru-Andean eastern;-14,066;-71,494;1;1;0;1;Hulbert et al 1986 Limnology and Oceonography
56;Fritz-SA Altiplano;Bolivia;Fritz;1991;Salar de Uyuni;modern;Lake;;24-III-91-A;Frt-SAA_SalrdUyn1;Sud Lipez;-20,144;-67,665;0;0;1;1;COUNTED
57;Fritz-SA Altiplano;Bolivia;Fritz;1991;Salar de Uyuni;modern;Lake;;24-III-91-B;Frt-SAA_SalrdUyn2;Sud Lipez;-20,144;-67,665;0;0;1;0;
58;Fritz-SA Altiplano;Bolivia;Fritz;1991;Salar de Uyuni;modern;Lake;;24-III-91-D;Frt-SAA_SalrdUyn3;Sud Lipez;-20,144;-67,665;0;0;1;0;
59;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Hedionda;modern;Lake;;25-III-91-A;Frt-SAA_LagunaHdnd;Sud Lipez;-21,568;-68,047;0;0;1;0;
60;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Canapa;modern;Lake;;25-III-91-A;Frt-SAA_LagunCnp1;Sud Lipez;-21,505;-68,01;0;0;1;0;
61;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Canapa;modern;Lake;;25-III-91-B;Frt-SAA_LagunCnp2;Sud Lipez;-21,505;-68,01;0;0;1;0;
62;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Canapa;modern;Lake;;25-III-91-C;Frt-SAA_LagunCnp3;Sud Lipez;-21,505;-68,01;0;0;1;0;
63;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Ramaditas;modern;Lake;;25-III-91-A;Frt-SAA_LgnRmdts1;Sud Lipez;-21,643;-68,079;0;0;1;0;
64;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Ramaditas;modern;Lake;;25-III-91-B;Frt-SAA_LgnRmdts2;Sud Lipez;-21,643;-68,079;0;0;1;0;
65;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-A;Frt-SAA_LagnClrd1;Sud Lipez;-22,2;-67,766;0;0;1;0;
66;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-B;Frt-SAA_LagnClrd2;Sud Lipez;-22,2;-67,766;0;0;1;0;
67;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-C;Frt-SAA_LagnClrd3;Sud Lipez;-22,2;-67,766;0;0;1;0;
