id,lat,long,SiteName,Collection,Substrate,Collector-Analyst,SampleType,Habitat,Year,region
102,-15.688,-70.194,Sollata,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
103,-15.662,-70.196,Jaluncocha,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,wetland,2003,Peru-Andean Puna
104,-15.663,-70.194,Lake 6,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
105,-15.902,-70.509,Calzada,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
106,-15.882,-70.565,Maquera,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
107,-15.537,-70.046,Umapata,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
108,-15.409,-70.204,Chacas,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
109,-15.578,-70.218,Pacuna,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
110,-15.432,-70.167,Lake 12,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,stream,2003,Peru-Andean Puna
111,-15.785,-70.595,Ululumasa,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
112,-15.778,-70.623,Sara Cocha,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
113,-15.764,-70.675,Lagunillas,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
114,-14.99,-70.126,Salinas,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
115,-15.119,-70.05,Arapa,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
116,-16.372,-70.396,Jacumarini,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
117,-16.386,-70.361,Asiruni,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
118,-16.529,-68.39,Laja,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
119,-16.578,-68.167,Jachcha Kkota,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
120,-16.58,-68.156,Chara Nkkota,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
121,-16.678,-68.315,Lake 23,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
122,-16.34,-68.042,Estrellani,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
123,-16.734,-68.302,Jayokota,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
124,-16.782,-68.296,Chijtacolla,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
125,-16.625,-68.275,Lake 27,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
126,-16.52,-68.46,Luky,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
127,-16.513,-68.494,Lake 29,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
128,-16.581,-68.388,Khotaê±a,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
129,-16.183,-68.338,Sora Kkota,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
130,-16.133,-68.362,Khara Kkota (north),GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
131,-16.089,-68.885,Aquihui,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
132,-16.915,-68.95,Lake 34,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
133,-16.427,-68.143,Muru Kkota,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
134,-10.724,-76.071,L. Tauli shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
135,-11.268,-75.787,Huagapo Cave outside,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
136,-10.76,-76.072,L. Ccochachuycho shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
137,-10.944,-76.046,Junin 11 Gunoc Km 255,JuninPlain,epipelon,Tapia,surface sediment,stream,1999,JuninPlain
138,-10.944,-76.046,Junin 11 Gunoc Km 255,JuninPlain,epilithic,Tapia,modern,stream,1999,JuninPlain
139,-10.944,-76.046,Junin 11 Gunoc Km 255,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
140,-10.944,-76.046,Junin 11 Gunoc Km 255,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
141,-10.778,-76.097,L. Lulicocha shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
142,-10.979,-76.036,Junin 13 Qda. Anascanchi,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
143,-10.979,-76.036,Junin 13 Qda. Anascanchi,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
144,-10.81,-76.134,Junin 10 Tambo del Sol,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
145,-10.803,-76.126,Junin 10 Tambo del Sol,JuninPlain,epipelon,Tapia,surface sediment,stream,1999,JuninPlain
146,-10.81,-76.134,Junin 10 Tambo del Sol,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
147,-10.81,-76.134,Junin 10 Tambo del Sol,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
148,-10.814,-76.232,Junin 9 ditch before Shelby,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
149,-10.915,-76.047,Junin 14 Palcamayo R.,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
150,-10.915,-76.047,Junin 14 Palcamayo R.,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
151,-10.833,-76.036,L. Yanacocha shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
152,-10.964,-76.231,Junin 7 San Pedro de Pari,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
153,-10.964,-76.231,Junin 7 San Pedro de Pari,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
154,-10.835,-76.46,L. Purun center,JuninPlain,epipelon,Tapia,surface sediment,Lake,1999,JuninPlain
155,-11.165,-76.017,Junin 1 Chacachimpa R.,JuninPlain,water,Tapia,modern,River,1999,JuninPlain
156,-11.165,-76.017,Junin 1 Chacachimpa R.,JuninPlain,water,Tapia,modern,River,1999,JuninPlain
157,-10.836,-76.454,L. Purun shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
158,-11.002,-76.01,Junin 12 Chacpas,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
159,-11.002,-76.01,Junin 12 Chacpas,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
160,-10.857,-75.986,Yanacocha 1 wetland,JuninPlain,periphyton,Tapia,modern,wetland,1999,JuninPlain
161,-11.113,-76.091,Junin 2 Warmipuquio spring,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
162,-11.113,-76.091,Junin 2 Warmipuquio spring,JuninPlain,epipelon,Tapia,surface sediment,Spring,1999,JuninPlain
163,-11.113,-76.091,Junin 2 Warmipuquio spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
164,-11.113,-76.091,Junin 2 Warmipuquio spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
165,-10.857,-75.983,Yanacocha 2 inflow stream,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
166,-11.124,-76.086,Junin 3 spring 2,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
167,-11.124,-76.086,Junin 3 spring 2,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
168,-10.915,-76.047,Junin 14 Palcamayo R.,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
169,-11.082,-76.148,Junin 4 Ondores spring,JuninPlain,epilithic,Tapia,modern,Spring,1999,JuninPlain
170,-11.082,-76.148,Junin 4 Ondores spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
171,-11.082,-76.148,Junin 4 Ondores spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
172,-10.921,-76.263,Junin 8 Upamayo Bridge,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
173,-11.056,-76.158,Junin 5 Conoc spring,JuninPlain,epipelon,Tapia,surface sediment,Spring,1999,JuninPlain
174,-11.056,-76.158,Junin 5 Conoc spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
175,-11.056,-76.158,Junin 5 Conoc spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
176,-10.944,-76.046,Junin 11 Gunoc Km 255,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
177,-11.042,-76.188,Junin 6 Chuchucancha R.,JuninPlain,epipelon,Tapia,surface sediment,River,1999,JuninPlain
178,-11.042,-76.188,Junin 6 Chuchucancha R.,JuninPlain,water,Tapia,modern,River,1999,JuninPlain
179,-11.042,-76.188,Junin 6 Chuchucancha R.,JuninPlain,water,Tapia,modern,River,1999,JuninPlain
180,-10.964,-76.231,Junin 7 San Pedro de Pari,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
181,-10.921,-76.263,Junin 8 Upamayo Bridge,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
182,-10.921,-76.263,Junin 8 Upamayo Bridge,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
183,-10.921,-76.263,Junin 8 Upamayo Bridge,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
184,-10.979,-76.036,Junin 13 Qda. Anascanchi,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
185,-10.813,-76.232,Junin 9 ditch before Shelby,JuninPlain,epipelon,Tapia,surface sediment,stream,1999,JuninPlain
186,-10.814,-76.232,Junin 9 ditch before Shelby,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
187,-10.814,-76.232,Junin 9 ditch before Shelby,JuninPlain,water,Tapia,modern,stream,1999,JuninPlain
188,-11.084,-75.935,L. Alcacocha shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
189,-11.084,-75.935,L. Alcacocha shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
190,-10.996,-76.062,L. Junin center,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
191,-11.002,-76.01,Junin 12 Chacpas,JuninPlain,epilithic,Tapia,modern,stream,1999,JuninPlain
192,-11.042,-76.188,Junin 6 Chuchucancha R.,JuninPlain,periphyton,Tapia,modern,River,1999,JuninPlain
193,-10.996,-76.062,L. Junin center,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
194,-10.996,-76.062,L. Junin center,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
195,-10.996,-76.062,L. Junin center,JuninPlain,benthos,Tapia,modern,Lake,1999,JuninPlain
196,-11.058,-76.156,L. Junin shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
197,-11.058,-76.156,L. Junin shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
198,-11.058,-76.156,L. Junin shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
199,-11.058,-76.156,L. Junin shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
200,-11.056,-76.158,Junin 5 Conoc spring,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
201,-10.778,-76.097,L. Lulicocha shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
202,-11.729,-75.507,L. Paca 12m deep,JuninPlain,plankton,Tapia,modern,Lake,1999,JuninPlain
203,-11.729,-75.507,L. Paca 12m deep,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
204,-11.729,-75.507,L. Paca 12m deep,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
205,-11.082,-76.148,Junin 4 Ondores spring,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
206,-11.717,-75.507,L. Paca inflow stream,JuninPlain,epilithic,Tapia,modern,stream,1999,JuninPlain
207,-11.729,-75.507,L. Paca surface,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
208,-11.729,-75.507,L. Paca surface,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
209,-11.729,-75.507,L. Paca surface,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
210,-11.084,-75.935,L. Alcacocha shore,JuninPlain,periphyton,Tapia,modern,Lake,1999,JuninPlain
211,-11.113,-76.091,Junin 2 Warmipuquio spring,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
212,-10.836,-76.454,L. Purun shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
213,-11.124,-76.086,Junin 3 spring 2,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
214,-10.724,-76.071,L. Tauli shore,JuninPlain,epipelon,Tapia,surface sediment,Lake,1999,JuninPlain
215,-11.165,-76.017,Junin 1 Chacachimpa R.,JuninPlain,periphyton,Tapia,modern,River,1999,JuninPlain
216,-10.833,-76.036,L. Yanacocha shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
217,-10.833,-76.036,L. Yanacocha shore,JuninPlain,water,Tapia,modern,Lake,1999,JuninPlain
218,-10.833,-76.036,L. Yanacocha shore,JuninPlain,algae,Tapia,modern,Lake,1999,JuninPlain
219,-11.268,-75.787,Huagapo Cave inside,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
220,-10.872,-76,Yanacocha 4 outlet channel,JuninPlain,epipelon,Tapia,surface sediment,channel,1999,JuninPlain
221,-11.717,-75.507,L. Paca inflow stream,JuninPlain,periphyton,Tapia,modern,stream,1999,JuninPlain
222,-10.856,-75.972,Yanacocha 3 spring,JuninPlain,periphyton,Tapia,modern,Spring,1999,JuninPlain
223,-10.856,-75.972,Yanacocha 3 spring,JuninPlain,epilithic,Tapia,modern,Spring,1999,JuninPlain
224,-10.856,-75.972,Yanacocha 3 spring,JuninPlain,water,Tapia,modern,Spring,1999,JuninPlain
