Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
CDIM;4;3;-;-;-;-;-;Cocconeis diminuta;J. Pantocsek 1901;Cocconeis disculus var. diminuta;118
CDIS;5;3;1;1;1;5;-;Cocconeis disculus;(J.H.K. Schumann) P.T. Cleve in P.T. Cleve et A. Jentzsch 1882;;"118; 152"
COHA;5;5;-;-;-;-;-;Cocconeis hauniensis;A. Witkowski 1993;;"118; 326"
CIRG;5;4;-;-;-;-;-;Cocconeis irregularis;(P. Schulz-Danzig) A. Witkowski in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
CMAX;5;7;-;-;-;-;-;Cocconeis maxima;(P.T. Cleve) E.V. Østrup 1910;;326
CNDI;4;2;-;-;-;-;-;Cocconeis neodiminuta;K. Krammer 1991;;118
CNTH;5;1;1;1;1;5;3;Cocconeis neothumensis;K. Krammer 1991;;"118; 152"
CPAB;4;3;2;2;2;5;1;Cocconeis pediculus;C.G. Ehrenberg 1838;;"118; 152"
COPT;5;7;-;-;-;-;-;Cocconeis pelta;A. Schmidt 1874;;"66; 326"
CPTO;5;6;-;-;-;-;-;Cocconeis peltoides;F. Hustedt 1939;;"66; 326"
CPLA;4;2;2;3;2;5;2;Cocconeis placentula;C.G. Ehrenberg 1838;;"118; 152"
CPLE;4;2;2;3;2;5;2;Cocconeis placentula var. euglypta;(C.G. Ehrenberg) P.T. Cleve 1895;;118
CPIN;4;2;2;3;2;5;2;Cocconeis placentula var. intermedia;(J. Héribaud et M. Peragallo in J. Héribaud) P.T. Cleve 1895;;118
CPLK;4;2;2;3;2;5;2;Cocconeis placentula var. klinoraphis;L. Geitler 1927;;118
CPLI;4;2;2;3;2;5;2;Cocconeis placentula var. lineata;(C.G. Ehrenberg) P.T. Cleve 1895;;118
CPPL;4;2;-;-;-;-;-;Cocconeis placentula var. pseudolineata;L. Geitler 1927;;"118; 152"
CPSM;5;5;-;-;-;-;-;Cocconeis pseudomarginata;W. Gregory 1857;;"66; 326"
COPS;4;2;1;1;2;-;3;Cocconeis pseudothumensis;E. Reichardt 1982;;"118; 152"
CSCU;5;5;-;-;-;-;1;Cocconeis scutellum;C.G. Ehrenberg 1838;;118
CSPA;5;5;-;-;-;-;1;Cocconeis scutellum var. parva;(A. Grunow in H.F. van Heurck) P.T. Cleve 1895;Cocconeis scutellum f. parva;118
CSTF;5;6;-;-;-;-;-;Cocconeis stauroneiformis;(W. Smith) H. Okuno 1957;Cocconeis scutellum var. stauroneiformis;"66; 118; 326"
COTE;5;6;-;-;-;-;-;Cocconeis tenuis;F. Hustedt 1939;;"66; 244"
COTH;-;2;-;-;-;-;-;Cocconeis thumensis;A. Mayer 1919;;"66; 118"
CTGU;5;4;1;1;2;5;1;Conticribra guillardii;(G.R. Hasle) A. Stachura-Suchoples et D.M. Williams 2009;Thalassiosira guillardii;"71; 72; 73"
CTWE;4;3;3;3;3;6;1;Conticribra weissflogii;(A. Grunow) A. Stachura-Suchoples et D.M. Williams 2009;"Thalassiosira fluviatilis; Thalassiosira weissflogii";"71; 118"
CPEN;-;-;-;-;-;-;1;Corethron pennatum;(A. Grunow in H.F. van Heurck) C.E.H. Ostenfeld 1903;Corethron criophilum;66
CCMT;-;5;-;-;-;-;1;Coscinodiscopsis commutata;(A. Grunow) E.A. Sar et I. Sunesen in E.A. Sar, I. Sunesen et F. Hinz 2008;"Coscinodiscus biconicus; Coscinodiscus commutatus; Coscinodiscus jonesianus var. commutatus";66
COJO;-;6;-;-;-;-;1;Coscinodiscopsis jonesiana;(R.K. Greville) E.A. Sar et I. Sunesen in E.A. Sar, I. Sunesen et F. Hinz 2008;Coscinodiscus jonesianus;71
COAP;-;-;-;-;-;-;1;Coscinodiscus apiculatus;C.G. Ehrenberg 1844;;66
CCEN;5;7;-;-;-;-;1;Coscinodiscus centralis;C.G. Ehrenberg 1838;;71
CCNC;5;7;-;-;-;-;1;Coscinodiscus concinnus;W. Smith 1856;;71
CDCR;-;-;-;-;-;-;1;Coscinodiscus decrescens;A. Grunow in A.W.F. Schmidt 1878;;76
CGRN;-;5;-;-;-;-;1;Coscinodiscus granii;L.H. Gough 1905;;"43; 71"
CGNA;-;-;-;-;-;-;1;Coscinodiscus granii var. aralensis;(C.E.H. Ostenfeld) F. Hustedt 1928 sensu G. Drebes 1974;;43
CMAR;-;-;-;-;-;-;1;Coscinodiscus marginatus;C.G. Ehrenberg 1841;;71
CPRF;-;-;-;-;-;-;1;Coscinodiscus perforatus;C.G. Ehrenberg 1844;;66
CPCE;-;-;-;-;-;-;1;Coscinodiscus perforatus var. cellulosus;A. Grunow 1884;;66
CPPA;5;7;-;-;-;-;1;Coscinodiscus perforatus var. pavillardii;(A.I. Forti) F. Hustedt 1928;Coscinodiscus pavillardii;66
CORA;-;5;-;-;-;-;1;Coscinodiscus radiatus;C.G. Ehrenberg 1841;;71
CROT;5;6;-;-;-;-;1;Coscinodiscus rothii;(C.G. Ehrenberg) A. Grunow in O. Schneider 1878;;71
CZSU;-;-;-;-;-;-;1;Coscinodiscus subtilis;C.G. Ehrenberg 1841;;241
CWAI;5;6;-;-;-;-;1;Coscinodiscus wailesii;H.H. Gran et E.C. Angst 1931;;71
COPU;3;3;1;1;-;-;4;Cosmioneis pusilla;(W. Smith) D.G. Mann et A.J. Stickle in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula pusilla;"118; 152"
CRDE;5;7;-;-;-;-;-;Craspedostauros decipiens;(F. Hustedt) E.J. Cox 1999;"Stauroneis decipiens; Stauronella decipiens";"30; 152; 326"
CIDB;5;6;-;-;-;-;-;Craspedostauros indubitabilis;(H. Lange-Bertalot et S.I. Genkal) E.J. Cox 1999;"Stauroneis constricta [3]; Stauronella indubitabilis";"30; 141; 152; 326"
