Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
LLYR;5;6;-;-;-;-;-;Lyrella lyra;(C.G. Ehrenberg) N.I. Karaeva 1978;Navicula lyra;326
MALB;4;2;-;-;-;-;-;Mastogloia albertii;E. Jovanovska, C.E. Wetzel, L. Ector et Z. Levkov 2016;Mastogloia smithii var. amphicephala;"118; 157; 207; 326"
MBRA;4;4;-;-;-;-;3;Mastogloia braunii;A. Grunow 1863;;"118; 326"
MELL;4;4;-;-;-;-;3;Mastogloia elliptica;(C.A. Agardh) A. Grunow in H.F. van Heurck 1880;;"118; 152; 326"
MEDA;4;3;-;-;-;-;3;Mastogloia elliptica var. dansei;(G.H.K. Thwaites) P.T. Cleve 1895;;118
MEXI;5;4;-;-;-;-;-;Mastogloia exigua;F.W. Lewis 1861;;326
MGRE;4;2;-;-;-;5;3;Mastogloia grevillei;W. Smith 1856;;"118; 152"
MLAC;4;3;1;1;1;5;3;Mastogloia lacustris;(A. Grunow in O. Schneider) A. Grunow in H.F. van Heurck 1880;Mastogloia smithii var. lacustris;"152; 196; 326"
MPUM;5;6;-;-;-;-;1;Mastogloia pumila;(A. Grunow in H.F. van Heurck) P.T. Cleve 1895;;"118; 326"
MSMI;4;4;-;-;2;-;3;Mastogloia smithii;G.H.K. Thwaites ex W. Smith 1856;;"118; 152; 326"
MAGR;3;2;-;-;2;3;3;Mayamaea agrestis;(F. Hustedt) H. Lange-Bertalot 2001;Navicula agrestis;134
MALC;4;2;-;-;-;5;3;Mayamaea alcimonica;(E. Reichardt) C.E. Wetzel, C. Barragán et L. Ector in C. Barragán, L. Ector et C.E. Wetzel 2017;"Navicula atomus var. alcimonica; Mayamaea atomus var. alcimonica";"131; 134"
MALI;-;3;-;-;-;-;-;Mayamaea aliena;(G. Krasske) H. Lange-Bertalot 2001;Navicula aliena;134
MARI;3;2;-;-;-;-;5;Mayamaea arida;(W. Bock) H. Lange-Bertalot 2001;Navicula arida;134
MASE;4;2;-;1;-;-;4;Mayamaea asellus;(M. Weinhold) H. Lange-Bertalot 2001;Navicula asellus;134
MAAT;4;2;4;2;4;6;4;Mayamaea atomus;(F.T. Kützing) H. Lange-Bertalot 1997;Navicula atomus;"131; 134; 152"
MAEX;3;2;3;1;3;6;4;Mayamaea excelsa;(G. Krasske) H. Lange-Bertalot 1997;"Navicula atomus var. excelsa; Navicula excelsa";"131; 134; 152"
MAFO;3;2;2;1;2;5;4;Mayamaea fossalis;(G. Krasske) H. Lange-Bertalot 1997;Navicula fossalis;"131; 134; 152"
MFOB;3;2;-;-;-;5;4;Mayamaea fossalis var. obsidialis;(F. Hustedt) H. Lange-Bertalot 1997;"Navicula fossalis var. obsidialis; Navicula obsidialis";"131; 134; 152"
MFSL;-;-;-;-;-;-;4;Mayamaea fossaloides;(F. Hustedt) H. Lange-Bertalot 1997;Navicula fossaloides;134
MING;4;4;2;2;2;5;-;Mayamaea ingenua;(F. Hustedt) H. lange-Bertalot et G. Hofmann in G. Hofmann, M. Werum et H. Lange-Bertalot 2011;Navicula ingenua;"118; 152"
MLLC;3;2;-;-;5;-;-;Mayamaea lacunolaciniata;(H. Lange-Bertalot et K. Bonik) H. Lange-Bertalot 1997;Navicula lacunolaciniata;"131; 134"
MPMI;4;2;3;4;4;5;3;Mayamaea permitis;(F. Hustedt) K. Bruder et L.K. Medlin 2008;"Navicula atomus var. permitis; Mayamaea atomus var. permitis; Navicula permitis";"131; 134; 152"
MRCD;2;1;1;1;-;2;5;Mayamaea recondita;(F. Hustedt) H. Lange-Bertalot 1997;Navicula atomus var. recondita;"131; 134"
MDIC;2;1;-;-;-;-;5;Melosira dickiei;(G.H.K. Thwaites) F.T. Kützing 1849;;"83; 85; 118"
MLIN;4;4;1;-;2;5;3;Melosira lineata;(L.W. Dillwyn) C.A. Agardh 1824;Melosira juergensii;"83; 85; 118"
MMON;5;5;-;-;-;-;2;Melosira moniliformis;(O.F. Müller) C.A. Agardh 1824;;"83; 85; 118"
MMOC;5;5;-;-;-;-;2;Melosira moniliformis var. octogona;(A. Grunow in O. Schneider) F. Hustedt 1928;;"85; 118"
MNUM;5;5;-;-;-;-;1;Melosira nummuloides;(L.W. Dillwyn) C.A. Agardh 1824;;"83; 118; 152"
MVAR;4;2;3;3;3;5;2;Melosira varians;C.A. Agardh 1827;;"83; 85; 118; 152"
MCHA;5;7;-;-;-;-;-;Membraneis challengeri;(A. Grunow in P.T. Cleve et A. Grunow) T.B.B. Paddock 1988;;71
MCIR;4;2;2;2;2;-;1;Meridion circulare;(R.K. Greville) C.A. Agardh 1831;;"118; 152"
MCCO;4;2;2;2;2;-;2;Meridion circulare var. constrictum;(J. Ralfs) J.-J. Brun 1880;;"118; 152"
MMEM;5;7;-;-;-;-;-;Meuniera membranacea;(P.T. Cleve) P.C. Silva in G.R. Hasle et E. Syvertsen 1996;"Navicula membranacea; Stauroneis membranacea";71
MKRA;2;1;1;1;1;2;4;Microcostatus krasskei;(F. Hustedt) J.R. Johansen et J.C. Sray 1998;"Navicula krasskei; Navicula vitrea [2]";"99; 118; 152"
MMAC;1;1;1;1;1;1;-;Microcostatus maceria;(H. Schimanski) H. Lange-Bertalot in W.H. Kusber et D. Metzeltin 2001;Navicula maceria;"118; 145"
MNAU;2;1;1;1;1;1;-;Microcostatus naumannii;(F. Hustedt) H. Lange-Bertalot 1999;Navicula naumannii;"118; 145"
MPOL;5;7;-;-;-;-;-;Minutocellus polymorphus;(P.E. Hargraves et R.R.L. Guillard) G.R. Hasle, H.A. von Stosch et E.E. Syvertsen 1983;Bellerochea polymorpha;71
MUGI;3;2;-;-;-;-;5;Muelleria gibbula;(P.T. Cleve) S.A. Spaulding et E.F. Stoermer 1997;Navicula gibbula;118
NKRU;5;5;-;-;-;-;-;Nanofrustulum krumbeinii;(A. Witkowski, M. Witak et K. Stachura in H. Lange-Bertalot et S.I. Genkal) E.A. Morales Luizaga in E.A. Morales Luizaga, C.E. Wetzel, M.H. Novais, K. Buczkó, M.M. Morais et L. Ector 2019;Opephora krumbeinii;"141; 190; 326"
NFNE;4;4;-;-;-;-;-;Nanofrustulum neoellipticum;(A. Witkowski) E.A. Morales Luizaga 2021;"Fragilaria neoelliptica; Opephora neoelliptica; Pseudostaurosira neoelliptica";"183; 186; 188"
NFSO;4;4;2;1;2;4;1;Nanofrustulum sopotense;(Witkowski & Lange-Bertalot) E.Morales, C.E.Wetzel & Ector 2019;"Fragilaria sopotensis; Pseudostaurosira sopotensis";"190; 324; 326"
NFTR;3;2;1;1;1;3;-;Nanofrustulum trainori;(E.Morales) E.Morales 2019;Pseudostaurosira trainori;"190; 192"
NABS;5;6;-;-;-;-;-;Navicula abscondita;F. Hustedt 1939;;"118; 326"
NABA;5;6;-;-;-;-;-;Navicula abunda;F. Hustedt 1955;;326
NAGI;5;6;-;-;-;-;-;Navicula agnita;F. Hustedt 1955;;326
NXAL;4;3;1;1;1;5;-;Navicula alineae;H. Lange-Bertalot in P.M. Tsarenko, H. Lange-Bertalot, V.V. Stupina et S.P. Wasser 2000;;"134; 268"
NAMM;5;6;-;-;-;-;-;Navicula ammophila;A. Grunow 1862;Navicula flanatica var. ammophila;326
NAAM;4;3;-;-;2;5;-;Navicula amphiceropsis;H. Lange-Bertalot et U. Rumrich in U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;;"134; 152; 234"
NAAN;2;1;1;1;1;1;2;Navicula angusta;A. Grunow 1860;;"134; 152"
NANT;4;2;2;3;3;6;-;Navicula antonii;H. Lange-Bertalot in U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;Navicula menisculus var. grunowii;"134; 152"
NATV;3;2;-;-;2;5;-;Navicula antverpiensis;B. van de Vijver et H. Lange-Bertalot 2009;;293
NAPC;5;5;-;-;-;-;-;Navicula apiculata;L.A. de Brébisson 1854, non W. Smith ex W. Gregory 1856;;"206; 245"
NAQR;5;2;1;1;1;-;-;Navicula aquaedurae;H. Lange-Bertalot 1993;;"134; 326"
NARE;4;6;-;-;-;-;3;Navicula arenaria;A.S. Donkin 1861;;"118; 134; 326"
NARO;4;6;-;-;-;-;3;Navicula arenaria var. rostellata;H. Lange-Bertalot 1985;;"118; 119; 134; 326"
NXAS;4;3;-;-;-;5;-;Navicula associata;H. Lange-Bertalot 2001;Navicula reichardtiana var. crassa;"134; 152"
NBES;5;7;-;-;-;-;-;Navicula besarensis;M.H. Giffen 1980;Navicula agnita [2];326
NBIP;4;6;-;-;-;-;-;Navicula bipustulata;A. Mann 1925;;326
NBKT;5;7;-;-;-;-;-;Navicula biskanterae;Hustedt 1939;Navicula biskanteri;326
NBJO;-;2;-;-;-;-;-;Navicula bjoernoeyaensis;D. Metzeltin, A. Witkowski et H. Lange-Bertalot in D. Metzeltin et A. Witkowski 1996;;134
NBOT;5;4;-;-;-;-;-;Navicula bottnica;A. Grunow in P.T. Cleve et Moller 1879;;"118; 134"
NBOV;4;4;-;-;-;5;-;Navicula bourrellyivera;H. Lange-Bertalot, A. Witkowski et K. Stachura in A. Witkowski, H. Lange-Bertalot et K. Stachura 1998;;"134; 329"
NBTB;4;3;-;-;-;5;-;Navicula breitenbuchii;H. Lange-Bertalot 2001;;134
NBTZ;5;2;-;-;-;1;-;Navicula broetzii;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;;134
NBRU;5;4;-;-;-;-;-;Navicula brunellii;M. Poulin, C. Hudon et A. Cardinal 1982;;"173; 213; 326"
NCAN;5;6;-;-;-;-;3;Navicula cancellata;A.S. Donkin 1873;;"134; 326"
NCVR;5;5;-;-;-;-;-;Navicula cancellata var. retusa;(L.A. de Brébisson) P.T. Cleve 1895;;206
NCPR;4;2;2;3;3;5;1;Navicula capitatoradiata;H. Germain 1981;Navicula cryptocephala var. intermedia;"118; 134; 152"
NCAR;5;3;1;1;2;5;2;Navicula cari;C.G. Ehrenberg 1838;Navicula graciloides;"118; 134; 152"
NCAF;5;7;-;-;-;-;3;Navicula carinifera;A. Grunow in A.W.F. Schmidt 1874;;304
NCCC;4;2;-;-;-;-;-;Navicula cariocincta;H. Lange-Bertalot in P.M. Tsarenko, H. Lange-Bertalot, V.V. Stupina et S.P. Wasser 2000;;"134; 268"
NCAT;5;2;-;-;2;-;-;Navicula catalanogermanica;H. Lange-Bertalot et G. Hofmann in H. Lange-Bertalot 1993;;"129; 134"
NCTT;5;2;1;1;1;4;-;Navicula cataracta-rheni;H. Lange-Bertalot 1993;;134
NCTV;4;4;-;-;2;5;-;Navicula caterva;M.H. Hohn et J. Hellerman 1963;;"134; 152"
NCIN;4;3;2;3;3;5;4;Navicula cincta;(C.G. Ehrenberg) J. Ralfs in A. Pritchard 1861;"Navicula cari var. cincta; Navicula heufleri";"118; 134; 152"
NCCT;-;1;1;1;1;2;-;Navicula concentrica;J.R. Carter in J.R. Carter et A.E. Bailey-Watts 1981;;"118; 134; 152"
NCRF;5;4;-;-;-;-;-;Navicula crucifera;A. Grunow ex A. Schmidt 1876;;326
NCRY;3;2;2;3;3;-;2;Navicula cryptocephala;F.T. Kützing 1844;;"118; 134; 152"
NCTE;4;2;2;3;3;-;2;Navicula cryptotenella;H. Lange-Bertalot 1985;"Navicula radiosa var. tenella; Navicula tenella";"118; 134; 152"
NCTO;4;2;2;2;2;-;-;Navicula cryptotenelloides;H. Lange-Bertalot 1993;;"129; 134; 152"
NDSL;4;2;1;1;1;1;-;Navicula denselineolata;(H. Lange-Bertalot) H. Lange-Bertalot 1991;;"118; 134; 152"
NDFO;-;2;-;-;-;-;-;Navicula difficillimoides;F. Hustedt 1957;;118
NDGC;4;4;2;3;3;5;4;Navicula digitoconvergens;H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Navicula digitoradiata var. elliptica [2];"134; 141; 152"
NDIG;4;4;-;-;-;5;3;Navicula digitoradiata;(W. Gregory) J. Ralfs in A. Pritchard 1861;;"118; 134; 152"
NYDE;5;6;-;-;-;-;-;Navicula digitoradiata var. elliptica;F. Hustedt in A. Schmidt et al. 1911;;"134; 244"
NDIL;5;2;1;1;1;-;-;Navicula diluviana;G. Krasske 1933;;118
NDIR;5;6;-;-;-;5;2;Navicula directa;(W. Smith) L.A. de Brébisson 1854;;326
NDST;5;7;-;-;-;-;-;Navicula distans;(W. Smith) L.A. de Brébisson 1854;;326
NEDG;4;3;-;-;-;-;-;Navicula eidrigiana;J.R. Carter 1979;;"118; 134"
NERI;4;3;-;-;-;5;2;Navicula erifuga;H. Lange-Bertalot 1985;Navicula cincta var. leptocephala;"118; 134; 152"
NESC;4;3;-;-;-;5;-;Navicula escambia;(R. Patrick) D. Metzeltin et H. Lange-Bertalot 2007;;"176; 293"
NEXI;2;2;1;1;1;-;-;Navicula exilis;F.T. Kützing 1844;Navicula cryptocephala var. exilis;"129; 134; 152"
NFGF;5;7;-;-;-;-;3;Navicula flagellifera;F. Hustedt 1939;;326
NFTI;4;6;-;-;-;-;3;Navicula flanatica;A. Grunow 1860;Navicula ammophila var. flanatica;"118; 134"
NFDR;4;4;2;-;-;5;1;Navicula flandriae;B. van de Vijver et A. Mertens 2015;;14
NFLU;3;2;-;-;-;-;-;Navicula fluens;F. Hustedt 1930;;118
NFTA;-;2;-;-;-;-;-;Navicula fontana;J. Żelazna-Wieczorek et H. Lange-Bertalot in J. Żelazna-Wieczorek 2011 (ICN: invalid);;333
NGSL;3;2;-;-;-;-;3;Navicula geisslerae;R. Jahn 1992;;"92; 140"
NGER;4;2;-;-;-;5;-;Navicula germainii;J.H. Wallace 1960;Navicula viridula var. germainii;"134; 152"
NGBU;-;-;-;-;1;-;-;Navicula globulifera;F. Hustedt 1927;;"118; 134"
NGON;-;4;-;-;-;-;-;Navicula gondwana;H. Lange-Bertalot 1993;;129
NGOT;5;2;1;1;1;2;-;Navicula gottlandica;A. Grunow in H.F.  van Heurck 1880;;"118; 134; 152"
NGRE;4;3;2;4;3;5;3;Navicula gregaria;A.S. Donkin 1861;;"118; 134; 152"
NHML;5;6;-;-;-;-;-;Navicula hamiltonii;A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
NHTI;4;5;-;-;-;-;-;Navicula hanseatica;H. Lange-Bertalot et K. Stachura in A. Witkowski, H. Lange-Bertalot et K. Stachura 1998;Navicula rhynchocephala var. amphiceros [3];"134; 329"
NHRT;4;5;-;-;-;-;-;Navicula hartii;B.J. von Cholnoky 1963;;9
NHMD;2;1;1;1;1;2;-;Navicula heimansioides;H. Lange-Bertalot 1993;;"129; 134"
NHIN;4;2;-;-;-;2;-;Navicula hintzii;H. Lange-Bertalot 1993;;"129; 134"
NIPX;2;2;2;2;2;2;-;Navicula impexa;F. Hustedt 1961;;118
NJAK;4;2;-;-;-;-;4;Navicula jakovljevicii;F. Hustedt 1945;;"134; 216"
NKEF;4;4;-;-;-;5;-;Navicula kefvingensis;(C.G. Ehrenberg) F.T. Kützing 1844;Navicula peregrina var. kefvingensis;134
NKOZ;4;4;-;-;-;-;-;Navicula korzeniewskii;A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;"134; 326"
NKOT;4;2;1;1;1;3;4;Navicula kotschyi;A. Grunow 1860 non sensu F. Hustedt 1930;"Navicula bicapitellata; Navicula grimmei";"118; 152"
NKRM;4;2;-;-;-;2;-;Navicula krammerae;H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;;"134; 138"
NKZG;-;2;-;-;-;-;-;Navicula kuetzingiana;H.L. Smith 1878;;248
NLCM;4;2;-;-;3;5;-;Navicula lacuum;H. Lange-Bertalot, G. Hofmann, M. Werum et B. van de Vijver in B. van de Vijver et H. Lange-Bertalot 2009;;152
NLAN;4;3;2;3;3;5;3;Navicula lanceolata;(C.A. Agardh) C.G. Ehrenberg 1838 non sensu F.T. Kützing nec sensu F. Hustedt;Navicula avenacea;"118; 134; 152"
NLAT;4;2;1;1;1;-;-;Navicula laterostrata;F. Hustedt 1925;;118
NLTC;4;2;-;-;1;-;-;Navicula laticeps;F. Hustedt 1942;;118
NLTK;4;2;1;1;1;2;-;Navicula leistikowii;H. Lange-Bertalot 1993;;134
NLST;2;1;1;1;1;2;3;Navicula leptostriata;E.G. Jørgensen 1948;Navicula heimansii;"118; 134; 152"
NLIB;4;4;2;2;3;5;-;Navicula libonensis;F.R. Schoeman 1970;;"118; 134; 152"
NLON;-;7;-;-;-;-;-;Navicula longa;(W. Gregory) J. Ralfs in A. Pritchard 1861;is probabaly Pinnularia longa W.Gregory 1856;326
NLIR;-;6;-;-;-;-;-;Navicula longa var. irregularis;F. Hustedt 1955;;326
NLGC;-;2;-;-;2;5;-;Navicula longicephala;F. Hustedt 1944;;134
NLUN;4;2;2;2;2;5;3;Navicula lundii;E. Reichardt 1985;;134
NMGL;4;3;-;-;-;5;2;Navicula margalithii;H. Lange-Bertalot 1985;;"118; 134"
NMEN;4;2;2;3;3;5;2;Navicula menisculus;J.H.K. Schumann 1867;;"118; 134; 152"
NMNS;4;3;-;-;-;5;2;Navicula meniscus;J.H.K. Schumann 1867;Navicula peregrina var. meniscus;"134; 326"
NMEU;4;4;-;-;2;5;-;Navicula meulemansii;A. Mertens, A. Witkowski et H. Lange-Bertalot in A. Mertens, A. Witkowski, H. Lange-Bertalot, L. Ribeiro et E. Rhiel 2013;;172
NMCA;4;2;-;-;-;-;-;Navicula microcari;H. Lange-Bertalot 1993;Navicula microcari;"129; 134"
NMDG;3;3;-;-;-;4;4;Navicula microdigitoradiata;H. Lange-Bertalot 1993;;"129; 134"
NMCB;4;2;-;-;-;-;-;Navicula microrhombus;(B.J. Cholnoky) F.R. Schoeman et R.E.M. Archibald 1977;;44
NMLL;5;5;-;-;-;-;-;Navicula mollis;(W. Smith) P.T. Cleve 1895;;326
NMOK;4;2;-;-;-;4;-;Navicula moskalii;D. Metzeltin, A. Witkowski et H. Lange-Bertalot in D. Metzeltin et A. Witkowski 1996;;"134; 152"
NNAM;4;3;-;-;3;5;-;Navicula namibica;Lange-Bertalot & Rumrich 1993;;"129; 134"
NNOM;5;7;-;-;-;-;-;Navicula normalis;F. Hustedt 1955;;326
NNML;5;6;-;-;-;-;-;Navicula normaloides;B.J. von Cholnoky 1968;;"134; 326"
NNOT;3;1;1;1;1;1;-;Navicula notha;J.H. Wallace 1960;;"134; 152"
NNOV;4;2;-;-;2;5;-;Navicula novaesiberica;H. Lange-Bertalot 1993;;134
NOBL;4;2;2;2;2;5;1;Navicula oblonga;(F.T. Kützing) F.T. Kützing 1844;;"118; 134; 152"
NOPU;4;2;1;1;1;4;-;Navicula oppugnata;F. Hustedt 1945;;"118; 134; 152"
NPPB;5;6;-;-;-;-;3;Navicula palpebralis;L.A. de Brébisson ex W. Smith 1853;;326
NWPA;5;7;-;-;-;-;-;Navicula palpebralis var. angulosa;(W. Gregory) H.F. van Heurck 1895;;326
NPBL;4;2;-;-;-;-;-;Navicula parablis;M.H. Hohn et J. Hellerman 1963;;134
NPSZ;4;5;-;-;-;-;-;Navicula paul-schulzii;A. Witkowski et H. Lange-Bertalot in A. Witkowski 1994;;326
NPAV;5;6;-;-;-;-;3;Navicula pavillardii;F. Hustedt 1939;;"118; 134; 326"
NPRG;4;4;-;-;-;5;-;Navicula peregrina;(C.G. Ehrenberg) F.T. Kützing 1844;;"118; 134; 326"
NPNP;4;4;-;-;-;-;-;Navicula peregrinopsis;H. Lange-Bertalot et A. Witkowski in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
NPNU;5;5;-;-;-;5;2;Navicula perminuta;A. Grunow in H.F. van Heurck 1880 non E.V. Østrup 1913;"Navicula cryptocephala var. perminuta; Navicula diserta";"118; 134; 152"
NPHY;5;6;-;-;-;5;2;Navicula phyllepta;F.T. Kützing 1844 non sensu C. Brockmann, nec sensu N.I. Hendey, nec sensu H. Lange-Bertalot 1986;;"134; 152; 326"
NPHP;5;4;-;-;-;5;-;Navicula phylleptosoma;H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Navicula phyllepta [3];"134; 141; 145; 326"
NPLY;4;3;-;-;-;-;-;Navicula platystoma;C.G. Ehrenberg 1838;;118
NPRA;4;2;-;-;-;2;-;Navicula praeterita;F. Hustedt 1945;;"118; 134; 152"
NPBY;2;1;1;1;1;1;4;Navicula pseudobryophila;(F. Hustedt) F. Hustedt 1942;;118
NPKO;2;1;1;1;1;-;4;Navicula pseudokotschyi;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 1985;Navicula kotschyi [2];"118; 119"
NPSL;2;2;1;1;1;2;1;Navicula pseudolanceolata;H. Lange-Bertalot 1980 pro parte;Navicula lanceolata [2];"134; 138"
NPPA;5;6;-;-;-;-;-;Navicula pseudopalpebralis;N.I. Hendey 1964;;326
NWPS;5;5;-;-;-;-;-;Navicula pseudosalinarioides;M.H. Giffen 1975;;326
NRAD;3;2;2;2;2;4;3;Navicula radiosa;F.T. Kützing 1844;;"134; 152"
NRFA;3;2;-;-;-;5;-;Navicula radiosafallax;H. Lange-Bertalot 1993;;"129; 134"
NRAM;5;5;-;-;-;-;-;Navicula ramosissima;(C.A. Agardh) P.T. Cleve 1895;;326
NRTO;5;5;-;-;-;-;-;Navicula ramosissima var. torquata;(W.H. Harvey) R. Ross in B. Hartley 1986;;"66; 326"
NRCS;4;3;2;2;3;5;3;Navicula recens;(H. Lange-Bertalot) H. Lange-Bertalot 1985;Navicula cari var. recens;"118; 134; 152"
NRCH;4;2;2;3;3;4;-;Navicula reichardtiana;H. Lange-Bertalot in H. Lange-Bertalot et K. Krammer 1989;Navicula exilis [3];"134; 152"
NREI;5;2;2;2;2;-;2;Navicula reinhardtii;(A. Grunow) A. Grunow in P.T. Cleve et J.D. Möller 1877;;"118; 134; 152"
NRHY;4;2;2;2;2;-;2;Navicula rhynchocephala;F.T. Kützing 1844;;"118; 134; 152"
NRHT;4;3;2;2;3;5;-;Navicula rhynchotella;H. Lange-Bertalot 1993 emend. H. Lange-Bertalot 1998;"Navicula rhynchocephala var. amphiceros [2]; Navicula rhynchocephala [3]";"129; 134; 152"
NROS;4;2;2;2;2;5;2;Navicula rostellata;F.T. Kützing 1844;Navicula viridula var. rostellata;"118; 134; 152"
NSAL;3;4;2;2;2;5;1;Navicula salinarum;A. Grunow in P.T. Cleve et A. Grunow 1880;;"118; 134; 152"
NSAM;3;4;2;2;2;5;1;Navicula salinarum f. minima;R.W. Kolbe 1927;;"134; 152; 326"
NSAR;3;4;2;2;2;5;1;Navicula salinarum var. rostrata;(F. Hustedt) H. Lange-Bertalot in A. Witkowski et al. 2000;Navicula digitoradiata var. rostrata;"134; 152"
NSLC;5;6;-;-;-;-;-;Navicula salinicola;F. Hustedt 1939;"Navicula incerta; Navicula incertata";"118; 134"
NSHR;4;4;-;-;-;5;-;Navicula schroeteri;F. Meister 1932;;"118; 293"
NSEB;4;2;-;-;2;5;-;Navicula seibigiana;H. Lange-Bertalot 1993;;"129; 134"
NSMH;-;1;-;-;-;-;5;Navicula semihyalina;W. Bock 1970;;118
NSEO;4;1;-;-;-;-;2;Navicula seminuloides;F. Hustedt 1937;;244
NSIE;4;3;-;-;-;5;2;Navicula sieminskae;H. Lange-Bertalot et A. Witkowski in H. Lange-Bertalot 2001;Navicula meniscus [2];134
NSIA;4;3;2;1;3;5;3;Navicula simulata;É.E. Manguin 1942;"Navicula symmetrica; Navicula schroeteri var. symmetrica";"152; 293"
NSLE;4;3;2;2;2;5;3;Navicula slesvicensis;A. Grunow in H.F. van Heurck 1880;Navicula peregrina f. minor;"118; 134; 152"
NXSP;5;6;-;-;-;-;-;Navicula spartinetensis;M.J. Sullivan et C.W. Reimer 1975;;331
NSPD;5;2;1;1;2;5;-;Navicula splendicula;S.L. VanLandingham 1975;;134
NSTK;5;2;1;1;1;1;-;Navicula stankovicii;F. Hustedt 1945;;134
NSTA;5;4;-;-;-;-;-;Navicula starmachioides;A. Witkowski et H. Lange-Bertalot ex A. Witkowski, H. Lange-Bertalot et D. Metzeltin  2000;;"325; 326"
NSCK;4;4;-;-;-;5;-;Navicula streckerae;H. Lange-Bertalot et A. Witkowski in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;"134; 326"
NSTL;5;2;1;1;1;4;3;Navicula striolata;(A. Grunow) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 1985;;"118; 134; 152"
NSBN;4;2;1;1;1;2;-;Navicula subalpina;E. Reichardt 1988;;"118; 134; 152"
NSRH;-;2;-;-;-;-;-;Navicula subrhynchocephala;F. Hustedt 1935;;"118; 134; 244"
NSGG;4;4;-;-;-;5;-;Navicula supergregaria;H. Lange-Bertalot et U. Rumrich in U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;"Navicula gottlandica [2]; Navicula phyllepta [2]";"134; 234"
NSYV;4;6;-;-;-;-;-;Navicula syvertsenii;A. Witkowski, D. Metzeltin et H. Lange-Bertalot in D. Metzeltin et A. Witkowski 1996;;"173; 326"
NWTD;4;6;-;-;-;-;-;Navicula taedens;B.J. von Cholnoky 1968;;173
NTEN;4;2;1;1;1;5;4;Navicula tenelloides;F. Hustedt 1937;;"118; 134; 152"
NTPT;4;2;2;2;2;5;3;Navicula tripunctata;(O.F. Müller) J.-B.G.M. Bory de Saint-Vincent;"Navicula gracilis; Navicula gracilis var. neglecta";"118; 134; 152"
NTSZ;4;4;-;-;-;5;3;Navicula tripunctata var. schizonemoides;(H.F. van Heurck) R.M. Patrick 1959;;134
NTRV;4;3;2;3;3;5;3;Navicula trivialis;H. Lange-Bertalot 1980;"Navicula gottlandica [3]; Navicula lanceolata [3]";"118; 134; 152"
NTCX;4;2;1;1;1;5;-;Navicula trophicatrix;H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Navicula pseudolanceolata [2];"134; 138; 152"
NUBR;-;2;-;-;-;-;-;Navicula umbra;M.H. Hohn et J. Hellerman 1963;;138
NUSA;4;2;-;-;2;5;-;Navicula upsaliensis;A. Grunow in P.T. Cleve et A. Grunow 1880;Navicula menisculus var. upsaliensis;"134; 152"
NVDA;4;2;-;-;-;5;-;Navicula vandamii;F.R. Schoeman et R.E.M. Archibald 1987;;"134; 152; 326"
NVDM;3;3;2;4;4;5;3;Navicula vandamii var. mertensiae;H. Lange-Bertalot in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;"134; 326"
NVAN;4;3;-;-;-;5;-;Navicula vaneei;H. Lange-Bertalot in A. Witkowski, H. Lange-Bertalot et K. Stachura 1998;"Navicula rhynchocephala [2]; Navicula rhynchocephala var. elongata; Navicula rhynchotella [2]";134
NVAU;-;-;-;-;-;-;4;Navicula vaucheriae;J.B. Petersen 1915;;118
NVEN;4;3;2;4;4;5;3;Navicula veneta;F.T. Kützing 1844;Navicula cryptocephala var. veneta;"118; 134; 152"
NVIP;4;2;2;2;4;5;-;Navicula vilaplanii;(H. Lange-Bertalot et S. Sabater) H. Lange-Bertalot et S. Sabater in U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;Navicula longicephala var. vilaplanii;"134; 152"
NVIR;4;2;2;2;3;5;1;Navicula viridula;(F.T. Kützing) C.G. Ehrenberg 1836;;"118; 134; 152"
NVCC;5;2;1;1;2;4;-;Navicula viridulacalcis;H. Lange-Bertalot in U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;Navicula viridula var. linearis;"118; 134"
NVUL;4;2;1;1;1;4;1;Navicula vulpina;F.T. Kützing 1844;;"118; 134; 152"
NWIE;4;3;-;-;-;5;4;Navicula wiesneri;H. Lange-Bertalot 1993;;"129; 134"
NWIL;3;2;1;1;1;2;-;Navicula wildii;H. Lange-Bertalot 1993;;"134; 152"
