year;number ID;Number tropical;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;;
2005;958;77;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;one local affiliation. Coauthor;Africa
2005;959;78;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;All local affiliations;Africa
2005;960;79;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;several local affiliations. Coauthors;Africa
2005;974;80;Costa Rica;8 48 N;8;48;8 48;;N;82 57 W;82;57;82 57;;W;No local affiliations;America
2005;982;81;Uganda;01 17 N;1;17;1 17;;N;33 19 E;33;19;33 19;;E;No local affiliations;Africa
2005;988;82;Cambodia;12 30 N;12;30;12 30;;N;104 23 E;104;23;104 23;;E;one local affiliation. Coauthor;Asia
2004;995;83;Costa Rica;10 26 N;10;26;10 26;;N;83 59 W;83;59;83 59;;W;No local affiliations;America
2004;996;84;Ethiopia;7 00 N;7;0;7 0;;N;40 00 E;83;59;83 59;;W;No local affiliations;Africa
2004;997;85;Ethiopia;7 00 N;7;0;7 0;;N;40 00 E;83;59;83 59;;W;No local affiliations;Africa
2004;998;86;El Salvador;13 57 N;13;57;13 57;;N;89 52 W;89;52;89 52;;W;No local affiliations;America
2004;1014;87;Uganda;00 25 S;0;25;0 25;;S;29 35 E;29;35;29 35;;E;no local affiliations;Africa
2004;1052;88;Tanzania;2 30 S;2;30;2 30;;S;36 00;36;0;36 0; ;E;no local affiliations;Africa
2004;1058;89;Mexico;19 26 N;19;26;19 26;;N;101 44 W;101;44;101 44;;W;No local affiliations;America
2003;1068;90;Hong kong;22 23 N;22;23;22 23;;N;114 06 E;114;6;114 6;;E;All local affiliations;Asia
2003;1083;91;Tanzania;11 40 S;11;40;11 40;;S;34 41 E;34;41;34 41;;E;no local affiliations;Africa
2003;1084;92;Tanzania;11 40 S;11;40;11 40;;S;34 41 E;34;41;34 41;;E;no local affiliations;Africa
2003;1101;93;Tanzania;11 40 S;11;40;11 40;;S;34 41 E;34;41;34 41;;E;no local affiliations;Africa
2003;1120;94;Tanzania;11 40 S;11;40;11 40;;S;34 41 E;34;41;34 41;;E;no local affiliations;Africa
2002;1152;95;Jamaica;17 58 N;17;58;17 58;;N;77 48 W;77;48;77 48;;W;No local affiliations;America
2002;1177;96;Brazil;00 05 S;0;5;0 5;;S;70 00 W;70;0;70 0;;W;no local affiliations;America
2002;1192;97;Ecuador;00 05 S;0;5;0 5;;S;91 30 W;91;30;91 30;;W;No local affiliations;America
2002;1195;98;Bolivia;15 13 S;15;13;15 13;;S;68 33 W;68;33;68 33;;W;no local affiliations;america
2002;1200;99;Guatemala;16 58 N;16;58;16 58;;N;89 40 W;89;40;89 40;;W;no local affiliations;america
2001;1255;100;Bolivia;18 40 S;18;40;18 40;;S;67 10 W;67;10;67 10;;W;no local affiliations;America
2001;1256;101;Kenya;0 46 S;0;46;0 46;;S;36 22 E;36;22;36 22;;E;No local affiliations;Africa
2000;1312;102;Tanzania;06 15 S;6;15;6 15;;S;29 30 E;29;30;29 30;;E;No local affiliations;Africa
2000;1325;103;Uganda;00 58 S;0;58;0 58;;S;33 27 E;33;27;33 27;;E;no local affiliations;Africa
2000;1342;104;Uganda;01 00 S;1;0;1 0;;S;33 00 E;33;0;33 0;;E;no local affiliations;Africa
1999;1363;105;Mexico;19 35 N;19;35;19 35;;N;101 32 W;101;32;101 32;;W;No local affiliations;America
1999;1364;106;Mexico;19 53 N;19;53;19 53;;N;98 25 W;98;25;98 25;;W;All local affiliations;America
1999;1368;107;Tanzania;04 47 S;4;47;4 47;;S;35 57 E;35;57;35 57;;E;No local affiliations;Africa
1999;1372;108;Tanzania;5 06 S;5;6;5 6;;S;33 04 E;33;4;33 4;;E;No local affiliations;Africa
1999;1375;109;Cameroon;5 55 N;5;55;5 55;;N;10 14 E;10;14;10 14;;E;No local affiliations;Africa
1999;1392;110;Thailand;18 17 N;18;17;18 17;;N;99 30 E;99;30;99 30;;E;One local affiliation. Coauthor;Asia
1999;1399;111;Ethiopia;7 04 N;7;4;7 4;;N;38 26 E;38;26;38 26;;E;One local affiliation. Coauthor;Africa
1999;1403;112;Colombia;4 08 N;4;8;4 8;;N;70 23 W;70;23;70 23;;W;No local affiliations;America
1999;1428;113;Ethiopia;07 03 N;7;3;7 3;;N;38 06 E;38;6;38 6;;E;No local affiliations;Africa
1998;1435;114;Nigeria;13 18 N;13;18;13 18;;N;11 01 E;11;1;11 1;;E;No local Affiliations;Africa
1998;1464;115;Tanzania;04 47 S;4;47;4 47;;S;35 57 E;35;57;35 57;;E;No local Affiliations;Africa
1998;1486;116;Jamaica;17 57 N;17;57;17 57;;N;77 48 W;77;48;77 48;;W;No local Affiliations;America
1998;1488;117;Guatemala;16 55 N;16;55;16 55;;N;89 50 W;89;50;89 50;;W;One local affiliation. Coauthor;America
1997;1542;118;Costa Rica;09 30 N;9;30;9 30;;N;83 50 W;83;50;83 50;;W;No local Affiliations;America
