Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
;;;2015;38;38;Reply to comment by Zhang (2014): The Shell Bar in the Qaidam Basin: fluvial or lake deposit, and OSL versus 14C age data;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2015;39;39;Erratum to: Evaluating environmental drivers of Holocene changes in water chemistry and aquatic biota composition at Lake Loitsana, NE Finland;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2;February;2015;40;40;Midge (Diptera: Chironomidae and Ceratopogonidae) emergence responses to temperature: experiments to assess midges’ capacity as paleotemperature indicators;Canada;50 12 N;50;12;50 12; ;N;118 42 W;118;42;118 42; ;W;midges;modern;;;
;;;2015;41;41;Synchronous changes in chironomid assemblages in two Arctic delta lake ecosystems after a major saltwater intrusion event;Canada;69 09 20,5 N;69;9;69 9;20,5;N;135 56 52,1 W;135;56;135 56;52,1;W;chironomidae;Late Holocene;;;
;;;2015;42;42;Origin and evolution of the Bezedna lake–mire complex in the Lublin area (East Poland): a case study for permafrost lakes in karstic regions;Poland;51 06 08,6 N;51;6;51 6;8,6;N;23 30 22,4 E;23;30;23 30;22,4;E;pollen, ostracodes;Holocene;;;
;;;2015;43;43;Quaternary climate change and Heinrich events in the southern Balkans: Lake Prespa diatom palaeolimnology from the last interglacial to present;Macedonia;40 53 16,04 N;40;53;40 53;16,04;N;21 01 20,23 E;21;1;21 1;20,23;E;diatoms;late Pleistonce, Holocene;;;
;;;2015;44;44;Environmental change in subtropical South America for the last two millennia as shown by lacustrine pigments;Argentina;30 42 17,09 S;30;42;30 42;17,09;S;62 34 15,82 W;62;34;62 34;15,82;W;fossil pigments, organic matter, HPLC;Late Holocene;;;
;;;2015;45;45;A method to regenerate the damaged Chironomidae slides in entellan mounting solution;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;1;January;2015;46;46;Clearing the muddy waters: using lake sediment records to inform agricultural management;Ireland;54 8 44 N;54;8;54 8;44;N;6 42 44 W;6;42;6 42;44;W;algal pigments;Late Holocene;;;
;;;2015;47;47;Diatom floristic change and lake paleoproduction as evidence of recent eutrophication in shallow lakes of the midwestern USA;United States ;42 47 15,50 N;42;47;42 47;15,5;N;93 41 25,01 W;93;41;93 41;25,01;W;diatoms;Late Holocene;;;
;;;2015;48;48;Oxygen isotope analysis of multiple, single ostracod valves as a proxy for combined variability in seasonal temperature and lake water oxygen isotopes;India;28 47 20,9 N;28;47;28 47;20,9;N;75 57 29,7 E;75;57;75 57;29,7;E;stable isotopes;Early Holocene;;;
;;;2015;49;49;Changing intensity of human activity over the last 2,000 years recorded by the magnetic characteristics of sediments from Xingyun Lake, Yunnan, China;China;24 20 11 N;24;20;24 20;11;N;102 46 56 E;102;46;102 46;56;E;elemental analysis;Late Holocene;;;
;;;2015;50;50;Amplification of DNA in sediment cores to detect historic Planktothrixoccurrence in three Norwegian lakes;Norway;59 47 16,31 N;59;47;59 47;16,31;N;10 46 51,74 E;10;46;10 46;51,74;E;DNA;Late Holocene;;;
;;;2015;51;51;The use of changes in small coastal Atlantic brooks in southwestern Europe as indicators of anthropogenic and climatic impacts over the last 400 years;Spain;37 02 31,18 N;37;2;37 2;31,18;N;6 37 17,56 W;6;37;6 37;17,56;W;Satellite imagery;Late Holocene;;;
;;;2015;52;52;Eemian environmental changes recorded in lake deposits from Rzecino (NW Poland): Cladocera, isotopic and selected geochemical data;Poland;53 50 27 N;53;50;53 50;27;N;15 59 57 E;15;59;15 59;57;E;Cladoceran, geochemistry, stable isotopes;Eemian;;;
;;;2015;53;53;Annually laminated sediments from Onondaga Lake, New York (USA) provide a basis for high-resolution studies of lake degradation and recovery;United States ;43 05 22,18 N;43;5;43 5;22,18;N;76 12 37,06 W;76;12;76 12;37,06;W;geochemistry;Late Holocene;;;
;;;2015;54;54;Chrysophyte cyst-inferred variability of warm season lake water chemistry and climate in northern Poland: training set and downcore reconstruction;Poland;54 07 54,5 N;54;7;54 7;54,5;N;21 59 01,1 E;21;59;21 59;1,1;E;chrysophite;Late Holocene;;;
;;;2015;55;55;Pollen, biomarker and stable isotope evidence of late Quaternary environmental change at Lake McKenzie, southeast Queensland;Australia;25 26 51 S;25;26;25 26;51;S;153 03 12 E;153;3;153 3;12;E;pollen, biomarker, stable isotope;late Pleistonce, Holocene;;;
;;;2015;56;56;A revised method for determining the absolute abundance of diatoms;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
52;4;December;2014;1;57;Sedimentary trace-element records of natural and human-induced environmental changes in the East China Sea;China;32 38 00,02 N;32;38;32 38;0,02;N;124 49 05,00 E;124;49;124 49;5;E;heavy metals;Late Holocene;;;
;;;2014;2;58;Response of Pediastrum in German floodplain lakes to Late Glacial climate changes;Germany;53 00 23 N;53;0;53 0;23;N;11 07 23 E;11;7;11 7;23;E;Pediastrum, pollen;late Pleistocene, Holocene;;;
;;;2014;3;59;Evaluating environmental drivers of Holocene changes in water chemistry and aquatic biota composition at Lake Loitsana, NE Finland;Finland;67 17 N;67;17;67 17; ;N;28 10 E;28;10;28 10; ;E;macrophytes, chironomidae, diatoms, pollen;Holocene;;;
